codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,pagina_catalogo,estado_previo,confianza_extraccion,requiere_revision
18070,PA-ALTE-N,Colores para altas temperaturas - Negro,Colores para altas temperaturas,Negro,,,,,298,pendiente,media,true
18071,PA-ALTE-A,Colores para altas temperaturas - Aluminio,Colores para altas temperaturas,Aluminio,,,,,298,pendiente,media,true
18072,PICE-10,"Pigmentos para cemento, 1 kg - Negro","Pigmentos para cemento, 1 kg",Negro,TRUPER,78,86,96,298,pendiente,alta,false
18073,PICE-11,"Pigmentos para cemento, 1 kg - Amarillo óxido","Pigmentos para cemento, 1 kg",Amarillo óxido,TRUPER,78,86,96,298,pendiente,alta,false
18074,PICE-12,"Pigmentos para cemento, 1 kg - Rojo óxido","Pigmentos para cemento, 1 kg",Rojo óxido,TRUPER,78,86,96,298,pendiente,alta,false
103267,PICE-13,"Pigmentos para cemento, 1 kg - Azul","Pigmentos para cemento, 1 kg",Azul,TRUPER,107,117,127,298,pendiente,alta,false
14270,GU-812,Protección química Guantes de neopreno para manejo de solventes - /b,Protección química Guantes de neopreno para manejo de solventes,/b,,77,85,95,338,pendiente,alta,false
14271,GU-813,Protección química Guantes de neopreno para manejo de solventes - /c,Protección química Guantes de neopreno para manejo de solventes,/c,,77,85,95,338,pendiente,alta,false
103820,GU-814,Protección química Guantes de neopreno para manejo de solventes - /[Y,Protección química Guantes de neopreno para manejo de solventes,/[Y,,77,85,95,338,pendiente,alta,false
15322,GU-821,Protección química Guantes de nitrilo para manejo de solventes - /a,Protección química Guantes de nitrilo para manejo de solventes,/a,,55,60,66,338,pendiente,alta,false
15323,GU-822,Protección química Guantes de nitrilo para manejo de solventes - /b,Protección química Guantes de nitrilo para manejo de solventes,/b,,55,60,66,338,pendiente,alta,false
15324,GU-823,Protección química Guantes de nitrilo para manejo de solventes - /c,Protección química Guantes de nitrilo para manejo de solventes,/c,,55,60,66,338,pendiente,alta,false
14268,GU-322,"Protección química Guantes de látex uso industrial, puño extra largo - /b","Protección química Guantes de látex uso industrial, puño extra largo",/b,,135,150,165,338,pendiente,alta,false
14269,GU-323,"Protección química Guantes de látex uso industrial, puño extra largo - /c","Protección química Guantes de látex uso industrial, puño extra largo",/c,,135,150,165,338,pendiente,alta,false
103778,GU-324,"Protección química Guantes de látex uso industrial, puño extra largo - /[Y","Protección química Guantes de látex uso industrial, puño extra largo",/[Y,,135,150,165,338,pendiente,alta,false
29941,GU-340,C6,,C6,,26,29,32,338,pendiente,media,true
23263,GU-341,C7,,C7,,26,29,32,338,pendiente,media,true
23260,GU-342,× 8,,× 8,,26,29,32,338,pendiente,media,true
23261,GU-343,9,,9,,26,29,32,338,pendiente,media,true
29942,GU-344,10,,10,,26,29,32,338,pendiente,media,true
29946,GU-345,C6,,C6,,26,29,32,338,pendiente,media,true
29948,GU-347,"Limpieza Guantes de látex 100% natural, para limpieza","Limpieza Guantes de látex 100% natural, para limpieza",,,26,29,32,338,pendiente,media,true
29949,GU-348,"Limpieza Guantes de látex 100% natural, para limpieza","Limpieza Guantes de látex 100% natural, para limpieza",,,26,29,32,338,pendiente,media,true
29950,GU-349,"Limpieza Guantes de látex 100% natural, para limpieza","Limpieza Guantes de látex 100% natural, para limpieza",,,26,29,32,338,pendiente,media,true
103970,GU-351,Protección química Guantes de látex uso industrial - /a,Protección química Guantes de látex uso industrial,/a,,50,55,60,338,pendiente,alta,false
14266,GU-352,Protección química Guantes de látex uso industrial - /b,Protección química Guantes de látex uso industrial,/b,,50,55,60,338,pendiente,alta,false
14267,GU-353,Protección química Guantes de látex uso industrial - /c,Protección química Guantes de látex uso industrial,/c,,50,55,60,338,pendiente,alta,false
103971,GU-354,Protección química Guantes de látex uso industrial - /[Y,Protección química Guantes de látex uso industrial,/[Y,,50,55,60,338,pendiente,alta,false
13297,GU-331,Limpieza Guantes de látex 100% natural Protección química Guantes de </FeL>e@Bre>@ para limpieza - /a,Limpieza Guantes de látex 100% natural Protección química Guantes de </FeL>e@Bre>@ para limpieza,/a,,45,50,55,338,pendiente,media,true
15268,GU-332,Limpieza Guantes de látex 100% natural Protección química Guantes de </FeL>e@Bre>@ para limpieza - /b,Limpieza Guantes de látex 100% natural Protección química Guantes de </FeL>e@Bre>@ para limpieza,/b,,45,50,55,338,pendiente,media,true
15269,GU-333,Limpieza Guantes de látex 100% natural Protección química Guantes de </FeL>e@Bre>@ para limpieza - /c,Limpieza Guantes de látex 100% natural Protección química Guantes de </FeL>e@Bre>@ para limpieza,/c,,45,50,55,338,pendiente,media,true
103712,GU-334,Limpieza Guantes de látex 100% natural Protección química Guantes de </FeL>e@Bre>@ para limpieza - /[Y,Limpieza Guantes de látex 100% natural Protección química Guantes de </FeL>e@Bre>@ para limpieza,/[Y,,45,50,55,338,pendiente,media,true
13296,GU-311,"Limpieza Guantes de látex 100% natural, para limpieza - /a","Limpieza Guantes de látex 100% natural, para limpieza",/a,,33,36,39,338,pendiente,media,true
14262,GU-312,"Limpieza Guantes de látex 100% natural, para limpieza - /b","Limpieza Guantes de látex 100% natural, para limpieza",/b,,33,36,39,338,pendiente,media,true
14263,GU-313,"Limpieza Guantes de látex 100% natural, para limpieza - /c","Limpieza Guantes de látex 100% natural, para limpieza",/c,,33,36,39,338,pendiente,media,true
103692,GU-314,"Limpieza Guantes de látex 100% natural, para limpieza - /[Y","Limpieza Guantes de látex 100% natural, para limpieza",/[Y,,33,36,39,338,pendiente,media,true
18622,TP-5,r 5 lb (2.3 kg),r 5 lb (2.3 kg),,,275,300,330,378,pendiente,media,true
18620,ZP-5,E o,E o,,,235,255,280,378,pendiente,media,true
48171,SEMO-6,"Sensores de movimiento, de sobreponer en techo, 360° - 6 m 800 W 8 A 4 cm","Sensores de movimiento, de sobreponer en techo, 360°",6 m 800 W 8 A 4 cm,,157,172,187,418,pendiente,alta,false
46599,SEMO-IN,"Sensores de movimiento, de sobreponer en techo, 360° - 10 m 800 W 12 A 6 cm","Sensores de movimiento, de sobreponer en techo, 360°",10 m 800 W 12 A 6 cm,,240,265,290,418,pendiente,alta,false
48172,SEMO-20,"Sensores de movimiento, de sobreponer en techo, 360° - 20 m 1,000 W 9 A 3 cm","Sensores de movimiento, de sobreponer en techo, 360°","20 m 1,000 W 9 A 3 cm",,295,325,355,418,pendiente,alta,false
46595,SEMO-AL,,,,,185,205,225,418,enriquecido,media,true
43669,SEMO-20,"Sensores de movimiento, de sobreponer en techo, 360°","Sensores de movimiento, de sobreponer en techo, 360°",,,295,325,355,418,pendiente,baja,true
47231,SEMO-EX,,,,,165,180,200,418,enriquecido,media,true
46594,SEMO-180,,,,,150,165,180,418,pendiente,media,true
43571,SEMO-ALI,,,,,385,425,465,418,pendiente,media,true
49246,R-507,y 3 (8 cm) con extensión tipo teléfono - Regadera,y 3 (8 cm) con extensión tipo teléfono,Regadera,,140,155,170,458,enriquecido,alta,false
49378,BCH-500,Brazos de pared para regadera - Cromo,Brazos de pared para regadera,Cromo,,77,85,95,458,pendiente,alta,false
47647,BCH-500M,Brazos de pared para regadera - #»402 M #401 Negro mate,Brazos de pared para regadera,#»402 M #401 Negro mate,,85,95,105,458,pendiente,alta,false
49450,R-007,Regadera 2 1⁄2 (6 cm) con extensión tipo teléfono,Regadera 2 1⁄2 (6 cm) con extensión tipo teléfono,,,335,365,400,458,enriquecido,alta,false
47653,)C-562,Válvula de llenado para tanque estacionario de gas LP,Válvula de llenado para tanque estacionario de gas LP,,,360,395,435,498,pendiente,baja,true
47654,)C-563,Válvula de seguridad externa para tanque estacionario de gas LP,Válvula de seguridad externa para tanque estacionario de gas LP,,,290,320,350,498,pendiente,baja,true
47656,)C-565,Acoplador de llenado para tanque estacionario de gas LP,Acoplador de llenado para tanque estacionario de gas LP,,,200,220,240,498,pendiente,baja,true
47657,)C--12,"roscables de globo gas LP, de hierro - i|t","roscables de globo gas LP, de hierro",i|t,,300,330,360,498,pendiente,baja,true
47658,)C--34,"roscables de globo gas LP, de hierro - k|v","roscables de globo gas LP, de hierro",k|v,,310,340,375,498,pendiente,baja,true
47652,)C-561,Válvula de servicio para tanque estacionario de gas LP,Válvula de servicio para tanque estacionario de gas LP,,,235,255,280,498,pendiente,baja,true
47655,)C-564,Válvula de seguridad interna para tanque estacionario de gas LP,Válvula de seguridad interna para tanque estacionario de gas LP,,,180,200,220,498,pendiente,baja,true
44969,kg,"rilletes de acero 5orjado - k⁄z"" (10 mm) 1 k⁄v"" (45 mm) o⁄sx"" (11 mm)",rilletes de acero 5orjado,"k⁄z"" (10 mm) 1 k⁄v"" (45 mm) o⁄sx"" (11 mm)",,45,50,55,538,enriquecido,baja,true
44970,kg,"rilletes de acero 5orjado - o⁄sx"" (11 mm) 2 1⁄sx"" (52 mm) 1⁄2"" (13 mm)",rilletes de acero 5orjado,"o⁄sx"" (11 mm) 2 1⁄sx"" (52 mm) 1⁄2"" (13 mm)",,52,57,62,538,enriquecido,baja,true
44971,kg,"rilletes de acero 5orjado - 1⁄2"" (13 mm) 2 1⁄v"" (57 mm) m⁄z"" (16 mm)",rilletes de acero 5orjado,"1⁄2"" (13 mm) 2 1⁄v"" (57 mm) m⁄z"" (16 mm)",,63,69,76,538,enriquecido,baja,true
44972,kg,"rilletes de acero 5orjado - m⁄z"" (16 mm) 3"" (75 mm) k⁄v"" (19 mm)",rilletes de acero 5orjado,"m⁄z"" (16 mm) 3"" (75 mm) k⁄v"" (19 mm)",,110,120,130,538,enriquecido,baja,true
44973,kg,"rilletes de acero 5orjado - k⁄v"" (19 mm) 3 1⁄2"" (90 mm) o⁄z"" (22 mm)",rilletes de acero 5orjado,"k⁄v"" (19 mm) 3 1⁄2"" (90 mm) o⁄z"" (22 mm)",,170,185,205,538,enriquecido,baja,true
44974,kg,"rilletes de acero 5orjado - o⁄z"" (22 mm) 4"" (100 mm) 1"" (25 mm)",rilletes de acero 5orjado,"o⁄z"" (22 mm) 4"" (100 mm) 1"" (25 mm)",,255,280,310,538,enriquecido,baja,true
44975,kg,"rilletes de acero 5orjado - 1"" (25 mm) 4 m⁄z"" (118 mm)1 1⁄z"" (28.5 mm)",rilletes de acero 5orjado,"1"" (25 mm) 4 m⁄z"" (118 mm)1 1⁄z"" (28.5 mm)",,345,380,420,538,enriquecido,baja,true
44060,kg,"%ensores de acero¯ gancho-gancho - 2 1⁄2"" (64 mm) 3⁄sx"" (5 mm)",%ensores de acero¯ gancho-gancho,"2 1⁄2"" (64 mm) 3⁄sx"" (5 mm)",,17,19,21,538,enriquecido,baja,true
44061,kg,"%ensores de acero¯ gancho-gancho - 3"" (75 mm) 1⁄v"" (6.5 mm)",%ensores de acero¯ gancho-gancho,"3"" (75 mm) 1⁄v"" (6.5 mm)",,29,32,35,538,enriquecido,baja,true
