codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf
17560,,SIL-100B,,"Selladores de uso general 100% de silicón, secado rápido",,,Blanco `,90,100,110,110,,False,media,True,352,True
17561,,SIL-100N,,"Selladores de uso general 100% de silicón, secado rápido",,,Negro `,90,100,110,110,,False,media,True,352,True
17562,,SIL-85T,,"Selladores de uso general 100% de silicón, secado rápido",,,Translúcido [\,42,46,51,51,,False,media,True,352,True
17566,,ALTE-R,"Selladores de silicón RTV para altas temperaturas, Rojo `",Selladores de silicón RTV para altas temperaturas,,,Rojo `,49,54,59,59,,True,alta,False,352,True
17567,,ALTE-N,"Selladores de silicón RTV para altas temperaturas, Negro `",Selladores de silicón RTV para altas temperaturas,,,Negro `,49,54,59,59,,True,alta,False,352,True
17568,,ALTE-A,"Selladores de silicón RTV para altas temperaturas, Azul `",Selladores de silicón RTV para altas temperaturas,,,Azul `,49,54,59,59,,True,alta,False,352,True
17605,,HTA-65,"Hilos redondos para desbrozadora, en blíster, 1.6 mm 15 m","Hilos redondos para desbrozadora, en blíster",,,1.6 mm 15 m,26,32,32,32,,True,alta,False,271,True
17606,,HTA-80,"Hilos redondos para desbrozadora, en blíster, 2 mm 15 m","Hilos redondos para desbrozadora, en blíster",,,2 mm 15 m,33,39,39,39,,True,alta,False,271,True
17607,,HTA-95,"Hilos redondos para desbrozadora, en blíster, 2.4 mm 12 m","Hilos redondos para desbrozadora, en blíster",,,2.4 mm 12 m,35,42,42,42,,True,alta,False,271,True
17608,,HLB-80,"Hilos redondos para desbrozadora, en tarjeta tipo carrete, 2 mm 120 m","Hilos redondos para desbrozadora, en tarjeta tipo carrete",,,2 mm 120 m,165,200,200,200,,True,alta,False,271,True
17609,,HLB-95,"Hilos redondos para desbrozadora, en tarjeta tipo carrete, 2.4 mm 78 m","Hilos redondos para desbrozadora, en tarjeta tipo carrete",,,2.4 mm 78 m,165,200,200,200,,True,alta,False,271,True
17610,,HLB-105,"Hilos redondos para desbrozadora, en tarjeta tipo carrete, 2.7 mm 63 m","Hilos redondos para desbrozadora, en tarjeta tipo carrete",,,2.7 mm 63 m,165,200,200,200,,True,alta,False,271,True
17624,,ACES-5,"Aceites sintéticos de 2 tiempos, 100 ml (3 oz) 5 L (1.3 gal) 6",Aceites sintéticos de 2 tiempos,,,100 ml (3 oz) 5 L (1.3 gal) 6,42,51,51,51,,True,alta,False,18,True
17625,,ACES-20,"Aceites sintéticos de 2 tiempos, 400 ml (14 oz) 20 L (5.2 gal) 6",Aceites sintéticos de 2 tiempos,,,400 ml (14 oz) 20 L (5.2 gal) 6,117,140,140,140,,True,alta,False,18,True
17629,,HTA-105,"Hilos redondos para desbrozadora, en blíster, 2.7 mm 12 m","Hilos redondos para desbrozadora, en blíster",,,2.7 mm 12 m,39,47,47,47,,True,alta,False,271,True
17630,,HLB-130,"Hilos redondos para desbrozadora, en tarjeta tipo carrete, 3 mm 56 m","Hilos redondos para desbrozadora, en tarjeta tipo carrete",,,3 mm 56 m,165,200,200,200,,True,alta,False,271,True
17631,,HLB-155,"Hilos redondos para desbrozadora, en tarjeta tipo carrete, 3.3 mm 47 m","Hilos redondos para desbrozadora, en tarjeta tipo carrete",,,3.3 mm 47 m,165,200,200,200,,True,alta,False,271,True
17643,,HTR3-95,"Hilos redondos para desbrozadora en carrete, 2.4 mm 262 m",Hilos redondos para desbrozadora en carrete,,,2.4 mm 262 m,435,525,525,525,,True,alta,False,271,True
17644,,HTR3-105,"Hilos redondos para desbrozadora en carrete, 2.7 mm 224 m",Hilos redondos para desbrozadora en carrete,,,2.7 mm 224 m,435,525,525,525,,True,alta,False,271,True
17645,,HTR3-130,"Hilos redondos para desbrozadora en carrete, 3 mm 168 m",Hilos redondos para desbrozadora en carrete,,,3 mm 168 m,435,525,525,525,,True,alta,False,271,True
17648,,HTR5-95,"Hilos redondos para desbrozadora en carrete, 2.4 mm 437 m",Hilos redondos para desbrozadora en carrete,,,2.4 mm 437 m,705,855,855,855,,True,alta,False,271,True
17649,,HTR5-105,"Hilos redondos para desbrozadora en carrete, 2.7 mm 373 m",Hilos redondos para desbrozadora en carrete,,,2.7 mm 373 m,705,855,855,855,,True,alta,False,271,True
17650,,HTR5-130,"Hilos redondos para desbrozadora en carrete, 3 mm 280 m",Hilos redondos para desbrozadora en carrete,,,3 mm 280 m,705,855,855,855,,True,alta,False,271,True
17679,,POMA-14,"Podadora manual, 14"", Podadora 1 NA","Podadora manual, 14""",,,Podadora 1 NA,1990,2390,2390,2390,,True,alta,False,273,True
17680,,POMA-15,"Podadora manual, 15"", Podadora 1 NA","Podadora manual, 15""",,,Podadora 1 NA,3300,4000,4000,4000,,True,alta,False,273,True
17693,,FA-POD,,,,,,77,95,95,95,,False,media,True,272,True
17694,,FG-POD,"Podadora motor a gasolina, 4 HP , 139 cc , 18"", P-520","Podadora motor a gasolina, 4 HP , 139 cc , 18""",,,P-520,15.50,,15.50,15.50,,True,alta,False,272,True
17697,,PIO-POD,"Podadora motor a gasolina, 5 HP , 159 cc , 20"", P-520","Podadora motor a gasolina, 5 HP , 159 cc , 20""",,,P-520,33,,33,33,,True,alta,False,272,True
17698,,MAN-POD,,,,,,,,,,,False,baja,True,,False
17699,,BUJ-POD,"Podadora motor a gasolina, 5 HP , 159 cc , 20"", P-520","Podadora motor a gasolina, 5 HP , 159 cc , 20""",,,P-520,72,,72,72,,True,alta,False,272,True
17707,,R-POMA-14PI,"Podadora manual, 14"", 1 24","Podadora manual, 14""",,,1 24,26,32,32,32,,True,alta,False,273,True
17708,,R-POMA-14PD,"Podadora manual, 14"", 1 24","Podadora manual, 14""",,,1 24,33,39,39,39,,True,alta,False,273,True
17751,,GUIA-15,"Ganchos de acero para cable, 15 m",Ganchos de acero para cable,,,15 m,425,465,515,515,,True,alta,False,175,True
17752,,GUIA-30,"Ganchos de acero para cable, 30 m",Ganchos de acero para cable,,,30 m,645,710,780,780,,True,alta,False,175,True
17755,,GNY-10,"Ganchos Guías de nylon para cable Guías de acero para cable, 10 m 3",Ganchos Guías de nylon para cable Guías de acero para cable,,,10 m 3,78,86,96,96,,True,alta,False,175,True
17756,,GNY-15,"Ganchos Guías de nylon para cable Guías de acero para cable, 15 m 3",Ganchos Guías de nylon para cable Guías de acero para cable,,,15 m 3,95,105,115,115,,True,alta,False,175,True
