codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf,motivo_revision
46129,,ARB-211L,,,,,Satín [Y * 650 lm,475,525,575,575,,False,media,True,443,True,descripcion_ambigua;extraccion_ambigua
46139,,MADE-3,,»,,,ro=o =ate,175,160,175,175,,False,media,True,580,True,descripcion_ambigua;extraccion_ambigua
46142,,CODO-GFCIB,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46145,,CODO-GFCII,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46154,,TUIZ-7/8M,"Tuerca izquierda o|z"", con maneral, 10 100","Tuerca izquierda o|z"", con maneral",,,10 100,38,42,46,46,,True,alta,True,499,True,discrepancia_clave
46160,,MV-33,,,,,,16,16,17.50,17.50,,False,media,True,399,True,descripcion_ambigua;extraccion_ambigua
46177,,LED-164EC,Foco LED MR16 GU5.3 4W (30W) 3000K luz blanca cálida VOLTECK,,VOLTECK,"Lámparas LED tipo MR 16, PAR, OVNI y cápsula",,,,,,,True,baja,True,,False,no_encontrado_en_pdf
46178,,LED-164E,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46179,,LED-166EC,Foco LED MR16 GU5.3 6W (40W) 3000K luz blanca cálida VOLTECK,,VOLTECK,"Lámparas LED tipo MR 16, PAR, OVNI y cápsula",,,,,,,True,baja,True,,False,no_encontrado_en_pdf
46180,,LED-166E,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46182,,LED-207E,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46183,,LED-207CE,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46187,,LED-3011E,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46188,,LED-3011CE,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46189,,LES-100L,"Lámpara de LED 5W cuello flexible para escritorio, VOLTECK","Lámpara LED de escritorio, 3 tonos de luz",VOLTECK LAIT,Luces de noche,,295,325,355,355,,True,alta,True,440,True,discrepancia_descripcion
46191,,LED-3814E,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46192,,LED-3814CE,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46195,,LED-G10,,"oco 8 W , tipo globo ocos tiBo 0arra",,,800 lm 60 W,72,79,87,87,,False,media,True,427,True,descripcion_ambigua;extraccion_ambigua
46199,,CLI-B,"Clavija industrial blindada no polarizada, VOLTECK",Clavijas y contactos sin tierra,VOLTECK,Clavijas y contactos industriales con y sin tierra,Clavija blindada 2 Polos 2 hilos 15 A [\a ) 1 Pieza,18,20,22,22,,True,alta,True,403,True,discrepancia_descripcion
46200,,CLI-S,"Clavija industrial blindada polarizada, VOLTECK","Clavijas blindadas , con abrazadera",VOLTECK,Clavijas y contactos industriales con y sin tierra,2 Polos 2 hilos [\a ) 20,16,17.50,17.50,17.50,,True,alta,True,403,True,discrepancia_descripcion
46201,,CLR-S,"Clavija industrial reforzada polarizada, VOLTECK","Clavijas reforzadas , con abrazadera",VOLTECK,Clavijas y contactos industriales con y sin tierra,2 Polos 2 hilos [\a ),16,17.50,17.50,17.50,,True,alta,True,403,True,discrepancia_descripcion
46204,,CLP-S,"Clavija industrial plástica polarizada, VOLTECK",Clavijas plásticas,VOLTECK,Clavijas y contactos industriales con y sin tierra,2 Polos 2 hilos [\a ) 10,17,19,19,19,,True,alta,True,403,True,discrepancia_descripcion
46209,,CL-PL,"2 Clavijas no polarizadas planas de policarbonato, VOLTECK",Clavijas y contactos sin tierra,VOLTECK,Clavijas y contactos industriales con y sin tierra,2 Clavijas planas 2 Polos 2 hilos 10 A [\a ) 2 Piezas,17,17,19,19,,True,alta,True,403,True,discrepancia_descripcion
46210,,CL-HR,"2 Clavijas no polarizadas redondas de PVC, VOLTECK",Clavijas y contactos sin tierra,VOLTECK,Clavijas y contactos industriales con y sin tierra,2 Polos 2 hilos 15 A [\a ) 2 Piezas,24,26,29,29,,True,alta,True,403,True,discrepancia_descripcion
46211,,LED-196FC,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46212,,LED-V3FC,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46215,,LED-104E,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46216,,LED-104EC,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46217,,LED-106E,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46218,,LED-106EC,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46221,,LED-100F,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46222,,LED-125F,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46223,,VW-007,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46225,,LED-170,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46226,,LED-250,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46227,,LED-350,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46228,,LED-450,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46237,,BOAP-1/2F2,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46245,,AD-RP,"Adaptador barra redonda a plana, VOLTECK",Adaptadores de clavija,VOLTECK,Multicontactos y adaptadores,127 V 10,13,14.50,16,16,,True,alta,True,410,True,discrepancia_descripcion
46250,,AD-270,"Adaptador con supresor de picos 270 joules, VOLTECK","Adaptador con supresor de picos , 735 Joules",VOLTECK,Multicontactos con supresor de picos y contacto inteligente WiFi,,48,53,58,58,,True,alta,True,411,True,discrepancia_descripcion
