codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_publico,pagina_catalogo,confianza_extraccion,requiere_revision,elegible_para_maestro
0010,,,Limpieza Guantes de látex 100% natural Protección química Guantes de látexneopreno para limpieza,,,,338,baja,True,False
0020,,Termocople soldable,Termocople soldable,,,,495,baja,True,False
0111,Níquelsatinado96mm,"Jaladeras metálicas línea Contempo, satinado 96 mm",Jaladeras metálicas línea Contempo,satinado 96 mm,,33,584,baja,True,False
0112,Níquelsatinado128mm,"Jaladeras metálicas línea Contempo, satinado 128 mm",Jaladeras metálicas línea Contempo,satinado 128 mm,,46,584,baja,True,False
0121,Latónbrillante,"Jaladeras metálicas línea Contempo, brillante 96 mm",Jaladeras metálicas línea Contempo,brillante 96 mm,,33,584,baja,True,False
0122,Latónbrillante,"Jaladeras metálicas línea Contempo, brillante 128 mm",Jaladeras metálicas línea Contempo,brillante 128 mm,,46,584,baja,True,False
0161,Negromate,"Jaladeras metálicas línea Contempo, mate 96 mm",Jaladeras metálicas línea Contempo,mate 96 mm,,33,584,baja,True,False
0162,Negromate,"Jaladeras metálicas línea Contempo, mate 128 mm",Jaladeras metálicas línea Contempo,mate 128 mm,,46,584,baja,True,False
0211,Níquelsatinado96mm,"Jaladeras metálicas línea Arco, satinado 96 mm",Jaladeras metálicas línea Arco,satinado 96 mm,,29,584,baja,True,False
0212,Níquelsatinado128mm,"Jaladeras metálicas línea Arco, satinado 128 mm",Jaladeras metálicas línea Arco,satinado 128 mm,,36,584,baja,True,False
0221,Latónbrillante,"Jaladeras metálicas línea Arco, brillante 96 mm",Jaladeras metálicas línea Arco,brillante 96 mm,,29,584,baja,True,False
0222,Latónbrillante,"Jaladeras metálicas línea Arco, brillante 128 mm",Jaladeras metálicas línea Arco,brillante 128 mm,,36,584,baja,True,False
0261,Negromate,"Jaladeras metálicas línea Arco, mate 96 mm",Jaladeras metálicas línea Arco,mate 96 mm,,29,584,baja,True,False
0262,Negromate,"Jaladeras metálicas línea Arco, mate 128 mm",Jaladeras metálicas línea Arco,mate 128 mm,,36,584,baja,True,False
0311,Níquelsatinado96mm,"Jaladeras de acero línea Cilindro, satinado 96 mm",Jaladeras de acero línea Cilindro,satinado 96 mm,,38,584,baja,True,False
0312,Níquelsatinado128mm,"Jaladeras de acero línea Cilindro, satinado 128 mm",Jaladeras de acero línea Cilindro,satinado 128 mm,,42,584,baja,True,False
0313,Níquelsatinado160mm,"Jaladeras de acero línea Cilindro, satinado 160 mm",Jaladeras de acero línea Cilindro,satinado 160 mm,,46,584,baja,True,False
0314,Níquelsatinado192mm,"Jaladeras de acero línea Cilindro, satinado 192 mm",Jaladeras de acero línea Cilindro,satinado 192 mm,,51,584,baja,True,False
0321,Latónbrillante,"Jaladeras de acero línea Cilindro, brillante 96 mm",Jaladeras de acero línea Cilindro,brillante 96 mm,,38,584,baja,True,False
0322,Latónbrillante,"Jaladeras de acero línea Cilindro, brillante 128 mm",Jaladeras de acero línea Cilindro,brillante 128 mm,,42,584,baja,True,False
0323,Latónbrillante,"Jaladeras de acero línea Cilindro, brillante 160 mm",Jaladeras de acero línea Cilindro,brillante 160 mm,,46,584,baja,True,False
0324,Latónbrillante,"Jaladeras de acero línea Cilindro, brillante 192 mm",Jaladeras de acero línea Cilindro,brillante 192 mm,,51,584,baja,True,False
0361,Negromate,"Jaladeras de acero línea Cilindro, mate 96 mm",Jaladeras de acero línea Cilindro,mate 96 mm,,38,584,baja,True,False
0362,Negromate,"Jaladeras de acero línea Cilindro, mate 128 mm",Jaladeras de acero línea Cilindro,mate 128 mm,,42,584,baja,True,False
0363,Negromate,"Jaladeras de acero línea Cilindro, mate 160 mm",Jaladeras de acero línea Cilindro,mate 160 mm,,46,584,baja,True,False
0364,Negromate,"Jaladeras de acero línea Cilindro, mate 192 mm",Jaladeras de acero línea Cilindro,mate 192 mm,,51,584,baja,True,False
0421,Latónbrillante,"Jaladeras metálicas línea Barroca, brillante a` ==",Jaladeras metálicas línea Barroca,brillante a` ==,,34,585,baja,True,False
0431,Latónantiguo,"Jaladeras metálicas línea Barroca, antiguo a` ==",Jaladeras metálicas línea Barroca,antiguo a` ==,,34,585,baja,True,False
0510,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0512,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0515,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0518,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0521,Latónbrillante,"Jaladeras metálicas línea Colonial, brillante a` ==",Jaladeras metálicas línea Colonial,brillante a` ==,,34,585,baja,True,False
0522,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0531,Latónantiguo,"Jaladeras metálicas línea Colonial, antiguo a` ==",Jaladeras metálicas línea Colonial,antiguo a` ==,,34,585,baja,True,False
0610,[[®bY,"Paquetes con 5 discos de lija 6"" , ciegos","Paquetes con 5 discos de lija 6"" , ciegos",,,72,196,baja,True,False
0612,[[®bY,"Paquetes con 5 discos de lija 6"" , ciegos","Paquetes con 5 discos de lija 6"" , ciegos",,,72,196,baja,True,False
0615,[[®bY,"Paquetes con 5 discos de lija 6"" , ciegos","Paquetes con 5 discos de lija 6"" , ciegos",,,72,196,baja,True,False
0618,[[®bY,"Paquetes con 5 discos de lija 6"" , ciegos","Paquetes con 5 discos de lija 6"" , ciegos",,,72,196,baja,True,False
0621,,"Jaladeras metálicas con inserto, a` ==",Jaladeras metálicas con inserto,a` ==,,47,585,baja,True,False
0622,[[®bY,"Paquetes con 5 discos de lija 6"" , ciegos","Paquetes con 5 discos de lija 6"" , ciegos",,,72,196,baja,True,False
0631,,"Jaladeras metálicas con inserto, a` ==",Jaladeras metálicas con inserto,a` ==,,47,585,baja,True,False
0651,,"Jaladeras metálicas con inserto, a` ==",Jaladeras metálicas con inserto,a` ==,,55,585,baja,True,False
0711,Níquelsatinado128mm,"Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna, satinado 128 mm",Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna,satinado 128 mm,,62,584,baja,True,False
0712,Níquelsatinado160mm,"Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna, satinado 160 mm",Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna,satinado 160 mm,,76,584,baja,True,False
0713,Níquelsatinado224mm,"Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna, satinado 224 mm",Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna,satinado 224 mm,,100,584,baja,True,False
0721,Latónbrillante,"Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna, brillante 128 mm",Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna,brillante 128 mm,,62,584,baja,True,False
0722,Latónbrillante,"Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna, brillante 160 mm",Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna,brillante 160 mm,,76,584,baja,True,False
0723,Latónbrillante,"Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna, brillante 224 mm",Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna,brillante 224 mm,,100,584,baja,True,False
0761,Negromate,"Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna, mate 128 mm",Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna,mate 128 mm,,62,584,baja,True,False
0762,Negromate,"Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna, mate 160 mm",Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna,mate 160 mm,,76,584,baja,True,False
0763,Negromate,"Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna, mate 224 mm",Jaladeras metálicas línea Moderna Perillas metálicas línea Moderna,mate 224 mm,,100,584,baja,True,False
0810,,"aisladas para cable Capuchones para empalme de cable Capuchones para empalme de cable, 0»8 * 0»8 * 4",aisladas para cable Capuchones para empalme de cable Capuchones para empalme de cable,0»8 * 0»8 * 4,,,381,baja,True,False
0818,,Capuchones para empalme de cable calibres surtidos,Capuchones para empalme de cable calibres surtidos,,,36,381,baja,True,False
0911,Níquelsatinado96mm,"Jaladeras metálicas línea Andamio, satinado 96 mm",Jaladeras metálicas línea Andamio,satinado 96 mm,,48,584,baja,True,False
0912,Níquelsatinado128mm,"Jaladeras metálicas línea Andamio, satinado 128 mm",Jaladeras metálicas línea Andamio,satinado 128 mm,,60,584,baja,True,False
0921,Latónbrillante,"Jaladeras metálicas línea Andamio, brillante 96 mm",Jaladeras metálicas línea Andamio,brillante 96 mm,,48,584,baja,True,False
0922,Latónbrillante,"Jaladeras metálicas línea Andamio, brillante 128 mm",Jaladeras metálicas línea Andamio,brillante 128 mm,,60,584,baja,True,False
0961,Negromate,"Jaladeras metálicas línea Andamio, mate 96 mm",Jaladeras metálicas línea Andamio,mate 96 mm,,48,584,baja,True,False
0962,Negromate,"Jaladeras metálicas línea Andamio, mate 128 mm",Jaladeras metálicas línea Andamio,mate 128 mm,,60,584,baja,True,False
1000,POLE-800,para polipastos eléctricos,para polipastos eléctricos,,,,309,media,True,False
100080,REP-PIPE-12G,"Barras de silicón de i|t"", [\ (30 cm)","Barras de silicón de i|t""",[\ (30 cm),,270,312,alta,False,True
100081,REP-PIPE-516G,"Barras de silicón de m|sx"", [\ (30 cm)","Barras de silicón de m|sx""",[\ (30 cm),,270,312,alta,False,True
1001,,,"Estuche con5 puntas combinadas largo 2"" (50 mm)",,,55,316,baja,True,False
100103,ST-724X,"Discos sierra para madera , para sierras circulares, \^ 8,200 rpm General","Discos sierra para madera , para sierras circulares","\^ 8,200 rpm General",,380,156,alta,False,True
100104,ST-740X,"Discos sierra para madera , para sierras circulares, ^Y 8,200 rpm General","Discos sierra para madera , para sierras circulares","^Y 8,200 rpm General",,560,156,alta,False,True
100105,ST-1040EX,"Discos sierra para madera , para sierras de mesa de piso y de inglete, 40 6,000 rpm &so 6eneral","Discos sierra para madera , para sierras de mesa de piso y de inglete","40 6,000 rpm &so 6eneral",,815,157,alta,False,True
100106,ST-1060EX,"Discos sierra para madera , para sierras de mesa de piso y de inglete, 60 6,000 rpm orte 5ino","Discos sierra para madera , para sierras de mesa de piso y de inglete","60 6,000 rpm orte 5ino",,1070,157,alta,False,True
100107,ST-1240EX,"Discos sierra para madera , para sierras de mesa de piso y de inglete, 40 5,000 rpm &so 6eneral","Discos sierra para madera , para sierras de mesa de piso y de inglete","40 5,000 rpm &so 6eneral",,1095,157,alta,False,True
100109,ST-10100AX,"Discos sierra para aluminio , para sierras de inglete, [YY 6,000 rpm Ltra 5ino","Discos sierra para aluminio , para sierras de inglete","[YY 6,000 rpm Ltra 5ino",,1950,156,alta,False,True
100140,PAR-16,,75 kg,6 (15 cm) [] (33 cm) 36,,200,311,media,True,False
100141,PAR-112,,75 kg,12 (30 cm) [c (48 cm) 36,,235,311,media,True,False
100142,PAR-26,,45 kg,6 (15 cm) [^ (35 cm) 24,,345,311,media,True,False
100143,PAR-212,,45 kg,12 (30 cm) \Y (50 cm) 24,,380,311,media,True,False
100144,PAR-224,,45 kg,24 (60 cm) ]\ (82 cm) 12,,470,311,media,True,False
100145,SUS-CAS,,E,NA,,96,326,media,True,False
100172,ST-424,,,"\^ 5,000 rpm General",,200,156,media,True,False
100197,STP-7PR,"7"", mango Comfort Grip, 11","7"", mango Comfort Grip",11,,160,375,alta,False,True
1002,,,"Estuche con5 puntas combinadas largo 1"" (25 mm)",,,39,316,baja,True,False
100286,CAB-200A,"Refacciones para soldadoras inversoras, ue6o de ca0les con portaelectrodo y pinNa para tierra, conector r/pido i|t, \YY 6",Refacciones para soldadoras inversoras,"ue6o de ca0les con portaelectrodo y pinNa para tierra, conector r/pido i|t, \YY 6",,1070,361,alta,False,True
100288,CAB-300A,"Refacciones para soldadoras inversoras, ue6o de ca0les con pinNa para tierra, conector r/pido i|t, ]YY 6",Refacciones para soldadoras inversoras,"ue6o de ca0les con pinNa para tierra, conector r/pido i|t, ]YY 6",,1445,361,alta,False,True
100293,LEDE-SN-R,"Lentes de seguridad con banda elástica, Gris",Lentes de seguridad con banda elástica,Gris,,110,329,alta,False,True
100353,PROCA-N,"Protectores solares para casco, con reflejante, Naranja","Protectores solares para casco, con reflejante",Naranja,,137,327,alta,False,True
100354,PROCA-V,"Protectores solares para casco, con reflejante, Verde","Protectores solares para casco, con reflejante",Verde,,137,327,alta,False,True
100376,MALE-14,"Maletas portaherramienta Deniers Deniers, 14"" (35 cm) 24",Maletas portaherramienta Deniers Deniers,"14"" (35 cm) 24",,280,77,alta,False,True
100377,MALE-24,"Maletas portaherramienta Deniers Deniers, 24"" (60 cm) 12",Maletas portaherramienta Deniers Deniers,"24"" (60 cm) 12",,710,77,alta,False,True
10067,,"Bombas extractoras de líquidos, 16853",Bombas extractoras de líquidos,16853,,,62,baja,True,False
100812,LEN-NL-V,"Lentes para láser, Verde",Lentes para láser,Verde,,180,329,alta,False,True
100862,M25D,"Mangueras planas de descarga para motobombas, precio por rollo, 50 m 1.7 mm 348 g","Mangueras planas de descarga para motobombas, precio por rollo",50 m 1.7 mm 348 g,PRETUL,2250,61,alta,False,True
100873,D-1406-B,Cortos de 12 puntas,Cortos de 12 puntas,,,30,124,alta,False,True
100874,D-1407-B,Cortos de 12 puntas,Cortos de 12 puntas,,,30,124,alta,False,True
100875,D-1408-B,Cortos de 12 puntas,Cortos de 12 puntas,,,30,124,alta,False,True
100876,D-1409-B,Cortos de 12 puntas,Cortos de 12 puntas,,,30,124,alta,False,True
100878,D-1410-B,Cortos de 12 puntas,Cortos de 12 puntas,,,30,124,alta,False,True
100879,D-1411-B,Cortos de 12 puntas,Cortos de 12 puntas,,,33,124,alta,False,True
100886,ARN-KIT-1A,"Kit contra caídas, 1 anillo , gancho robusto , (ANSI), 3,600 lb (16 kN)","Kit contra caídas, 1 anillo , gancho robusto , (ANSI)","3,600 lb (16 kN)",,1675,343,alta,False,True
100887,ARN-KIT-3A,"Kit contra caídas, 3 anillos , gancho robusto , (ANSI), 3,600 lb (16 kN)","Kit contra caídas, 3 anillos , gancho robusto , (ANSI)","3,600 lb (16 kN)",,2390,343,alta,False,True
100888,ARN-KIT-1,"Kit contra caídas, 1 anillo, 350 lb (1.55 kN)","Kit contra caídas, 1 anillo",350 lb (1.55 kN),,1130,343,alta,False,True
100889,ARN-KIT-3,"Kit contra caídas, 3 anillos, 350 lb (1.55 kN)","Kit contra caídas, 3 anillos",350 lb (1.55 kN),,1515,343,alta,False,True
100917,D-1405-B,Cortos de 12 puntas,Cortos de 12 puntas,,,30,124,alta,False,True
100919,D-3808-HL,Largos de 6 puntas,Largos de 6 puntas,,,60,124,alta,False,True
100933,ALL-8TMX,"Juego de 8 llaves torx extra largas, mango “ T ” Juegos de 8 llaves hexagonales extra largas, mango “T”, mm","Juego de 8 llaves torx extra largas, mango “ T ” Juegos de 8 llaves hexagonales extra largas, mango “T”",mm,,585,217,alta,False,True
100934,ALL-8TPX,"Juego de 8 llaves torx extra largas, mango “ T ” Juegos de 8 llaves hexagonales extra largas, mango “T”, std","Juego de 8 llaves torx extra largas, mango “ T ” Juegos de 8 llaves hexagonales extra largas, mango “T”",std,,585,217,alta,False,True
100935,TORX-8TLX,"Juego de 8 llaves torx extra largas, mango “ T ”","Juego de 8 llaves torx extra largas, mango “ T ”",,,535,217,alta,False,True
100949,AI-5453,"Adaptadores de impacto Nudos universales de impacto, H M 6 24",Adaptadores de impacto Nudos universales de impacto,H M 6 24,,250,131,alta,False,True
100954,ROU-A3,,"#oGter (re0ajadora)¯ 1,200 W ¯ 1 k|v !",Router,,1595,247,media,True,False
100959,M23S,"de succión y descarga para motobombas rollo de 30 m, precio por metro, 73 psi 4.3 mm 0.9 kg 3","de succión y descarga para motobombas rollo de 30 m, precio por metro",73 psi 4.3 mm 0.9 kg 3,,,61,media,True,False
100961,D-1412-B,Cortos de 12 puntas,Cortos de 12 puntas,,,33,124,alta,False,True
100962,D-1414-B,Cortos de 12 puntas,Cortos de 12 puntas,,,34,124,alta,False,True
100964,D-1416-B,Cortos de 12 puntas,Cortos de 12 puntas,,,35,124,alta,False,True
100990,D-3810-HL,Largos de 6 puntas,Largos de 6 puntas,,,60,124,alta,False,True
10100,rpm,"Discos sierra para aluminio , para sierras de inglete, Ltra 5ino","Discos sierra para aluminio , para sierras de inglete",Ltra 5ino,,1950,156,baja,True,False
101001,D-1210-EL,"Dados largos de 12 puntas, 48",Dados largos de 12 puntas,48,,95,125,alta,False,True
101002,D-1212-EL,"Dados largos de 12 puntas, 48",Dados largos de 12 puntas,48,,95,125,alta,False,True
101003,D-1214-EL,"Dados largos de 12 puntas, 48",Dados largos de 12 puntas,48,,95,125,alta,False,True
101016,D-3432-H,Dados cortos de 6 puntas,Dados cortos de 6 puntas,,,204,126,alta,False,True
101017,D-3444-H,Dados cortos de 6 puntas,Dados cortos de 6 puntas,,,310,126,alta,False,True
101040,M33S,"de succión y descarga para motobombas rollo de 30 m, precio por metro, 73 psi 5.7 mm 1.8 kg 3","de succión y descarga para motobombas rollo de 30 m, precio por metro",73 psi 5.7 mm 1.8 kg 3,,,61,media,True,False
101041,M43S,"de succión y descarga para motobombas rollo de 30 m, precio por metro, 58 psi 6.9 mm 2.5 kg 3","de succión y descarga para motobombas rollo de 30 m, precio por metro",58 psi 6.9 mm 2.5 kg 3,,,61,media,True,False
101096,VASO-450,,,"PIPI-452, PIPI-451 y PIPI-450 1",,117,110,media,True,False
1012,cm,,×8 ×10 ×6,,,430,408,baja,True,False
101216,BAN-LB-3x21A2,,,Banda 6,,55,248,baja,True,False
101217,BOL-LB-3x21A2,,,Bolsa recolectora 6,,42,248,baja,True,False
101246,D-1214-BC,,D,,,130,127,media,True,False
101247,D-1216-BC,,D,,,160,127,media,True,False
101248,D-1205-BL,punta,punta,,,105,127,alta,False,True
101249,D-1206-BL,punta,punta,,,105,127,alta,False,True
101256,CAS-NI,,C,,,152,326,media,True,False
101257,CAS-AI,,C,,,152,326,media,True,False
101258,CAS-BI,,C,,,152,326,media,True,False
101259,CAS-ZI,,C,,,152,326,media,True,False
101270,CAS-VI,,C,,,152,326,media,True,False
101271,CAS-RI,,C,,,152,326,media,True,False
101272,MALE-12,"Maletas portaherramienta Deniers Deniers, 12"" (30 cm) 24",Maletas portaherramienta Deniers Deniers,"12"" (30 cm) 24",,240,77,alta,False,True
101274,D-1212-BC,,D,,,118,127,media,True,False
101292,D-1205-BC,,D,,,96,127,media,True,False
101293,D-1206-BC,,D,,,96,127,media,True,False
101294,D-1208-BC,,D,,,105,127,media,True,False
101295,D-1210-BC,,D,,,105,127,media,True,False
101300,D-1208-BL,punta,punta,,,110,127,alta,False,True
101301,D-1210-BL,punta,punta,,,118,127,alta,False,True
101302,D-1212-BL,punta,punta,,,152,127,alta,False,True
101303,D-1214-BL,punta,punta,,,180,127,alta,False,True
101304,D-1216-BL,punta,punta,,,240,127,alta,False,True
101375,MOHE-13,Deniers 57 compartimentos,Deniers 57 compartimentos,,,1455,77,alta,False,True
101381,LIRA-130,"LED de aluminio y plásticas Linternas, 16 × 3 cm 150 g",LED de aluminio y plásticas Linternas,16 × 3 cm 150 g,,195,201,alta,False,True
101389,STP-13P,"Serrucho de poda hoja curva plegable , 10"", mango Comfort Grip, SPT-12P 5","Serrucho de poda hoja curva plegable , 10"", mango Comfort Grip",SPT-12P 5,,160,375,alta,False,True
101393,R-ROPI-930X,"Felpas de borrego para rodillos, 9"", 1 1⁄4 Extra rugosas","Felpas de borrego para rodillos, 9""",1 1⁄4 Extra rugosas,,325,295,alta,False,True
101394,R-ROPI-920X,"Felpas de borrego para rodillos, 9"", 3⁄4 Rugosas","Felpas de borrego para rodillos, 9""",3⁄4 Rugosas,,292,295,alta,False,True
101443,CIA-118N,"Cintas antiderrapantes, en rollo, 25 mm (1"") 80 Negro","Cintas antiderrapantes, en rollo","25 mm (1"") 80 Negro",,265,95,alta,False,True
101444,CIA-218N,"Cintas antiderrapantes, en rollo, 50 mm (2"") 80 Negro","Cintas antiderrapantes, en rollo","50 mm (2"") 80 Negro",,505,95,alta,False,True
101445,CIAH-15T,"Cintas antiderrapantes, en rollo, 25 mm (1"") Transparente Acrílico","Cintas antiderrapantes, en rollo","25 mm (1"") Transparente Acrílico",,110,95,alta,False,True
101446,CIAH-25T,"Cintas antiderrapantes, en rollo, 50 mm (2"") Transparente Acrílico","Cintas antiderrapantes, en rollo","50 mm (2"") Transparente Acrílico",,200,95,alta,False,True
101448,CIA-25P,"Cintas antiderrapantes amarillanegra, 50 mm (2"") 60 3",Cintas antiderrapantes amarillanegra,"50 mm (2"") 60 3",,187,95,alta,False,True
101449,CIA-218P,"Cintas antiderrapantes amarillanegra, 50 mm (2"") 60 2",Cintas antiderrapantes amarillanegra,"50 mm (2"") 60 2",,515,95,alta,False,True
101450,CIA-25L,"Cintas antiderrapantes fotoluminiscentes, 50 mm (2"") 60",Cintas antiderrapantes fotoluminiscentes,"50 mm (2"") 60",,355,95,alta,False,True
101451,CIA-218L,"Cintas antiderrapantes fotoluminiscentes, 50 mm (2"") 60",Cintas antiderrapantes fotoluminiscentes,"50 mm (2"") 60",,1070,95,alta,False,True
1015,,Refacciones para bombas tipo bala »,Refacciones para bombas tipo bala »,,,335,58,baja,True,False
101667,BOPE-60,Bombas extractoras de líquidos,Bombas extractoras de líquidos,,,110,62,alta,False,True
101688,PLYO-5,"plásticas estirables) para empaque, Transparente 60 5"" 3 (]e)",plásticas estirables) para empaque,"Transparente 60 5"" 3 (]e)",,,93,media,True,False
101689,PLYO-18,"plásticas estirables) para empaque, × Transparente 50 18"" 3 (\e)",plásticas estirables) para empaque,"× Transparente 50 18"" 3 (\e)",,,93,media,True,False
101700,COL12-ROU-NX2,,"#oGter (re0ajadora)¯ 1,800 W ¯ \ i|t !",ollet i|t,TRUPER,230,247,media,True,False
101701,COL14-ROU-NX2,,"#oGter (re0ajadora)¯ 1,800 W ¯ \ i|t !",ollet i|v,TRUPER,230,247,media,True,False
101703,COL12-ROU-N3,,"#oGter (re0ajadora)¯ 1,200 W ¯ 1 k|v !",ollet i|t,,145,247,media,True,False
101704,COL14-ROU-N3,,"#oGter (re0ajadora)¯ 1,200 W ¯ 1 k|v !",ollet i|v,,145,247,media,True,False
101772,CIAH-15G,"Cintas antiderrapantes, en rollo, 25 mm (1"") Gris De caucho","Cintas antiderrapantes, en rollo","25 mm (1"") Gris De caucho",,110,95,alta,False,True
101773,CIAH-25G,"Cintas antiderrapantes, en rollo, 50 mm (2"") Gris De caucho","Cintas antiderrapantes, en rollo","50 mm (2"") Gris De caucho",,200,95,alta,False,True
101779,BAMBU-4,"Extensión de bambú, 4 m, 35 mm","Extensión de bambú, 4 m",35 mm,,66,374,alta,False,True
101791,LEDE-TX,"Lentes de seguridad Sobrelente con marco de espuma, Transparente",Lentes de seguridad Sobrelente con marco de espuma,Transparente,,175,329,alta,False,True
101843,DESI-36X,"Destornillador inalámbrico de 2 posiciones 3.6 V , i|v""","Destornillador inalámbrico de 2 posiciones 3.6 V , i|v""",,,395,262,alta,False,True
101862,VASO-401,,,"PIPI-403, PIPI-402 y PIPI-401 1",,165,110,media,True,False
101867,COL14-ROU-A3,,"#oGter (re0ajadora)¯ 1,200 W ¯ 1 k|v !",ollet i|v,,34,247,media,True,False
101932,LEDE-ST-AE,"Lentes de seguridad panorámicos, Transparente",Lentes de seguridad panorámicos,Transparente,,87,329,alta,False,True
101933,LEN-2000-AE,"Lentes de seguridad ajustables, Transparente",Lentes de seguridad ajustables,Transparente,,47,329,alta,False,True
101934,LEN-LT-AE,"Lentes de seguridad ultra ligeros, Transparente",Lentes de seguridad ultra ligeros,Transparente,,47,329,alta,False,True
1020,L20,"Canaletas, 2 m, 20 × A 10 mm Sí","Canaletas, 2 m",20 × A 10 mm Sí,,35,381,alta,False,True
102054,VASO-44E,"Vasos de repuesto para pistolas para pintar, 2024",Vasos de repuesto para pistolas para pintar,2024,,130,111,alta,False,True
102055,VASO-33E,"Vasos de repuesto para pistolas para pintar, 2024",Vasos de repuesto para pistolas para pintar,2024,,130,111,alta,False,True
102234,PESQ-1,"Juego de 2 prensas esquineras, ajuste rápido","Juego de 2 prensas esquineras, ajuste rápido",,,158,310,alta,False,True
102251,JBAV-5R,"Juego de 5 brocas para metal, zanco de cambio rápido","Juego de 5 brocas para metal, zanco de cambio rápido",,,220,63,alta,False,True
102252,JBAV-13R,"Juego de 13 brocas para metal, zanco de cambio rápido","Juego de 13 brocas para metal, zanco de cambio rápido",,,585,63,alta,False,True
102280,ADM-420,,»,420 g 6,,92,94,media,True,False
102281,ADM-140,,»,140 g 6,,68,94,media,True,False
10230,APT-12,,"Hasta 17,000 psi 1,200 kg/cmj",,TRUPER,270,32,media,True,False
102315,ROU-MN,"Router compacto (rebajadora), 710 W , O.95 HP","Router compacto (rebajadora), 710 W , O.95 HP",Router,,1820,247,alta,False,True
10232,ATX-12,,"Hasta 21,000 psi 1,500 kg/cmj",,TRUPER,400,32,media,True,False
10234,ATT-12,,"Hasta 17,000 psi 1,200 kg/cmj",,TRUPER,203,32,media,True,False
10236,MAT-12,,"Hasta 15,000 psi 1,000 kg/cmj",,TRUPER,115,32,media,True,False
102379,ROU-MA,"Router compacto (rebajadora), 600 W , 3⁄v HP","Router compacto (rebajadora), 600 W , 3⁄v HP",Router,TRUPER,910,247,alta,False,True
102404,LARE-900,"Lámpara LED plástica reflectora, recargable , 900 lm, 380 g","Lámpara LED plástica reflectora, recargable , 900 lm",380 g,,870,200,alta,False,True
102415,SOPLA-800,,,,,1165,31,media,True,False
102418,LARE-2000,"Lámpara LED plástica reflectora, recargable , 2,000 lm, 500 g","Lámpara LED plástica reflectora, recargable , 2,000 lm",500 g,,1240,200,alta,False,True
102429,MULH-35A,,,,,2125,249,media,True,False
102471,ST-624,,,"\^ 9,200 rpm General",,255,156,media,True,False
102496,ESMA-4580PN,"Esmeriladora 4 i|t"", 850 W interruptor tipo paleta","Esmeriladora 4 i|t"", 850 W interruptor tipo paleta",,,1030,233,alta,False,True
102497,CB-MOG-130,Carburadores para motores a gasolina,Carburadores para motores a gasolina,,,660,278,alta,False,True
102498,CB-MOG-90,Carburadores para motores a gasolina,Carburadores para motores a gasolina,,,625,278,alta,False,True
102499,CB-MOG-65,Carburadores para motores a gasolina,Carburadores para motores a gasolina,,,465,278,alta,False,True
102544,PESQ-45,Prensa esquinera para soldador,Prensa esquinera para soldador,,,575,310,alta,False,True
102551,REPI-19,,,,,95,297,media,True,False
102597,PESQ-25,"Prensa esquinera profesional , maneral en “T” de ajuste rápido","Prensa esquinera profesional , maneral en “T” de ajuste rápido",,,365,310,alta,False,True
102626,PAR-124,,75 kg,24 (60 cm) ][ (79 cm) 12,,325,311,media,True,False
102628,PAR-136,,75 kg,36 (90 cm) ^^ (110 cm) 12,,420,311,media,True,False
102629,PAR-218,,45 kg,18 (45 cm) \` (67 cm) 12,,435,311,media,True,False
102640,PAR-230,,45 kg,30 (75 cm) ]b (97 cm) 12,,545,311,media,True,False
102641,PAR-236,,45 kg,36 (90 cm) ^^ (112 cm) 12,,595,311,media,True,False
102643,CHA-1712,,25 L,,,450,77,media,True,False
102644,CHP-1925R,,53 L,,,990,77,media,True,False
102661,REP-RES-600-V,"Respirador profesional de cara completa, Visor",Respirador profesional de cara completa,Visor,TRUPER,265,328,alta,False,True
