codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_publico,pagina_catalogo,confianza_extraccion,requiere_revision,elegible_para_maestro
27204,PNT-6P,"Prensas de hierro dúctil para carpintería, 6 (150 mm) 2 3⁄4 (70 mm)",Prensas de hierro dúctil para carpintería,6 (150 mm) 2 3⁄4 (70 mm),,219,310,alta,False,True
2730,"o⁄8""","laminados de fibra de vidrio, 8,600 rpm",laminados de fibra de vidrio,"8,600 rpm",,96,151,baja,True,False
2731,"o⁄8""","laminados de fibra de vidrio, 8,600 rpm",laminados de fibra de vidrio,"8,600 rpm",,96,151,baja,True,False
28002,CIM-28P,Cepillo de ixtle para impermeabilizar,Cepillo de ixtle para impermeabilizar,,,140,297,alta,False,True
28019,LIPLA-40P,"Linterna LED plástica, de pilas , 40 lm","Linterna LED plástica, de pilas , 40 lm",40 lm 3.5 h 40 g,,79,201,alta,False,True
28041,R-ROPI-910P,"Felpas para rodillos uso general , 9, 3⁄z Lisas ROPI-910P","Felpas para rodillos uso general , 9",3⁄z Lisas ROPI-910P,,22,295,alta,False,True
28042,R-ROPI-915P,"Felpas para rodillos uso general , 9, m⁄z Poco rugosas ROPI-915P","Felpas para rodillos uso general , 9",m⁄z Poco rugosas ROPI-915P,,24,295,alta,False,True
28043,R-ROPI-920P,"Felpas para rodillos uso general , 9, 3⁄4 Rugosas ROPI-920P","Felpas para rodillos uso general , 9",3⁄4 Rugosas ROPI-920P,,25,295,alta,False,True
28044,R-ROPI-925P,"Felpas para rodillos uso general , 9, 1 Muy rugosas ROPI-925P","Felpas para rodillos uso general , 9",1 Muy rugosas ROPI-925P,,26,295,alta,False,True
28076,DP-18X4TP,"de cruz , mango de PVC Desarmadores planos , mango de PVC, i|z 6 1⁄v"" × 4""","de cruz , mango de PVC Desarmadores planos , mango de PVC","i|z 6 1⁄v"" × 4""",,22,142,alta,False,True
28077,DP-18X6TP,"de cruz , mango de PVC Desarmadores planos , mango de PVC, i|z 8 1⁄v"" × 6""","de cruz , mango de PVC Desarmadores planos , mango de PVC","i|z 8 1⁄v"" × 6""",,25,142,alta,False,True
28078,DP-18X8TP,"de cruz , mango de PVC Desarmadores planos , mango de PVC, i|z 10 1⁄v"" × 8""","de cruz , mango de PVC Desarmadores planos , mango de PVC","i|z 10 1⁄v"" × 8""",,26,142,alta,False,True
28082,DP-18X4BP,"de cruz , mango Comfort Grip Desarmadores, i⁄z 6 3⁄v"" × 4""","de cruz , mango Comfort Grip Desarmadores","i⁄z 6 3⁄v"" × 4""",,24,141,alta,False,True
28083,DP-18X6BP,"de cruz , mango Comfort Grip Desarmadores, i⁄z 8 3⁄v"" × 6""","de cruz , mango Comfort Grip Desarmadores","i⁄z 8 3⁄v"" × 6""",,26,141,alta,False,True
28084,DP-18X8BP,"de cruz , mango Comfort Grip Desarmadores, i⁄z 10 3⁄v"" × 8""","de cruz , mango Comfort Grip Desarmadores","i⁄z 10 3⁄v"" × 8""",,26,141,alta,False,True
28085,DP-316X8BP,"de cruz , mango Comfort Grip Desarmadores, k⁄sx 12"" × 8""","de cruz , mango Comfort Grip Desarmadores","k⁄sx 12"" × 8""",,36,141,alta,False,True
28086,DP-316X10BP,"de cruz , mango Comfort Grip Desarmadores, k⁄sx 13 o⁄8"" × 10""","de cruz , mango Comfort Grip Desarmadores","k⁄sx 13 o⁄8"" × 10""",,42,141,alta,False,True
28201,BOS-2LMP,,"Bombas para agua limpia, F8B@ 0a<a 4""","2 HP 23.5 A 80 m [`Y /=in 1 1⁄2"" NPT 2 mm 9",,3350,47,media,True,False
28203,BOS-1LMP,,"Bombas para agua limpia, F8B@ 0a<a 4""","1 HP 13.8 A 60 m cY /=in 1 1⁄v"" NPT 1.8 mm 6",,2465,47,media,True,False
28204,BOS-34LMP,,"Bombas para agua limpia, F8B@ 0a<a 4""","3⁄4 HP 12 A 40 m cY /=in 1 1⁄v"" NPT 1.8 mm 5",,2350,47,media,True,False
28205,BOS-12LMP,,"Bombas para agua limpia, F8B@ 0a<a 4""","1⁄2 HP 8.5 A 30 m cY /=in 1 1⁄v"" NPT 1.8 mm 4",,2125,47,media,True,False
28220,LIOR-1/3P4,,,Lijadora,,605,249,media,True,False
28223,BASE-LIOR-13P4Base,,,Base,,84,249,baja,True,False
28268,LIMI-20P,"Llave de impacto inalámbrica, 20 V , i|t""","Llave de impacto inalámbrica, 20 V , i|t""",,,1330,265,alta,False,True
28269,DIMI-20P,"Destornillador de impacto inalámbrico, 20 V , i|v""","Destornillador de impacto inalámbrico, 20 V , i|v""",,,1150,265,alta,False,True
28301,M-CORSOL-P,"Manguera cuata reforzada para oxiacetileno, 4.5 m","Manguera cuata reforzada para oxiacetileno, 4.5 m",,,545,360,alta,False,True
29000,ROTI-20P2K,,,Rotomartillo,,1330,265,media,True,False
29001,TALI-20P2K,,,Taladro,,1265,265,media,True,False
29012,PESQ-3P,"Prensa esquinera, trabajo ligero","Prensa esquinera, trabajo ligero",,,123,310,alta,False,True
29017,SOIN-310MP,,"Mini soldadora inversora, corriente máxima 100 A 60%",,,1200,358,media,True,False
29018,SOIN-512MP,,30% corriente máxima 120 A,,,1455,358,media,True,False
29019,SOIN-313MBP,,"60% máxima 130 A , Bi-Voltaje",,,1395,358,media,True,False
29020,COMBO-20P,,,,,2000,265,media,True,False
29042,PPSE15-TB,"Placas, [ )entana [®_ Adulos (35 mm)",Placas,[ )entana [®_ Adulos (35 mm),,15.50,393,alta,False,True
29043,PPTR-TB,"Placas, [ )entana ] Adulos (70 mm)",Placas,[ )entana ] Adulos (70 mm),,15.50,393,alta,False,True
29045,APSE15-ETB,"Contacto sencillo aterrizado Interruptores, 3 Vías 1.5 Módulos (35 mm)",Contacto sencillo aterrizado Interruptores,3 Vías 1.5 Módulos (35 mm),,21,393,alta,False,True
29046,APTI15-TB,Contacto sencillo aterrizado Interruptores,Contacto sencillo aterrizado Interruptores,,,29,393,alta,False,True
29047,COA15-TB,"Contacto sencillo aterrizado Interruptores, [®_ Adulos (35 mm)",Contacto sencillo aterrizado Interruptores,[®_ Adulos (35 mm),,29,393,alta,False,True
29048,TV15-TB,"Toma de televisión, [®_ Adulos (35 mm)",Toma de televisión,[®_ Adulos (35 mm),,22,393,alta,False,True
29049,TE15-TB,"Toma de teléfono, [®_ Adulos (35 mm)",Toma de teléfono,[®_ Adulos (35 mm),,22,393,alta,False,True
29050,DIM15-TB,"» Atenuador de luz giratorio, [®_ Adulos (35 mm)",» Atenuador de luz giratorio,[®_ Adulos (35 mm),,110,393,alta,False,True
