codigo,codigo_barras,clave,descripcion,marca,categoria
13732,,RES-X,"Respirador profesional media cara, TRUPER EXPERT",TRUPER EXPERT,Respiradores y goggles
19915,,MART-20X,"Martelina forjada talacho-pico 20 oz, mango con TPR, EXPERT",TRUPER EXPERT,Martillos especiales y martelinas
101902,,MALE-22R,"Maleta portaherramientas 18-1/2"", con ruedas, TRUPER EXPERT",TRUPER EXPERT,"Cajas para herramienta, maletas y mochilas portaherramienta"
11876,,J-CH,Chumaceras para carretillas de 1 llanta EXPERT/TRUPER/PRETUL,TRUPER,Refacciones para carretillas bastidor tubular
101954,,LESO-X,"Sobrelente de seguridad claros con antiempaño, TRUPER EXPERT",TRUPER EXPERT,Lentes de seguridad
50138,,R-BRT-C,Exhibidor despachador con 156 brochas mango plástico TRUPER,TRUPER,"Brochas, exhibidores y pinceles"
100914,,TRA-PRO-XL-X,"Conjunto impermeable triple capa, talla XG, TRUPER EXPERT",TRUPER EXPERT,Conjuntos impermeables y overoles
103804,,GU-520,"Guantes negros reforzados para soldador, TRUPER EXPERT",TRUPER EXPERT,Guantes de piel y carnaza
100912,,TRA-PRO-M-X,"Conjunto impermeable triple capa, talla M, TRUPER EXPERT",TRUPER EXPERT,Conjuntos impermeables y overoles
101130,,IMPER-S-X,"Gabardina impermeable triple capa, talla CH, TRUPER EXPERT",TRUPER EXPERT,Gabardinas impermeables y ponchos
103806,,TAV-RX,"Tijera de aviación 10"" corte recto, TRUPER EXPERT",TRUPER EXPERT,"Tijeras de aviación, para hojalatero, industriales, para sastre y electricista"
11863,,TN-AZ-9X,"Tenaza 9"" para azulejo, TRUPER EXPERT",TRUPER EXPERT,Tenazas | Tiroleras
18375,,MA-TX21,"Mariposa de repuesto para tijera TX-21, TRUPER EXPERT",TRUPER EXPERT,Tijeras para poda
100911,,TRA-PRO-S-X,"Conjunto impermeable triple capa, talla CH, TRUPER EXPERT",TRUPER EXPERT,Conjuntos impermeables y overoles
59993,,PARA-240,Panel ranurado 120 x 240 cm TRUPER,TRUPER,"Artículos para tienda / Ganchos, canastillas, gaveta, paneles, candados para gancho y llave magnética"
17937,,VASO-440X,"Vaso plástico de repuesto para PIPI-440X/420X, TRUPER EXPERT",TRUPER EXPERT,"Pistolas de aire de GRAVEDAD, flujo de aire controlado"
103808,,TAV-IX,"Tijera de aviación 10"" corte izquierdo, TRUPER EXPERT",TRUPER EXPERT,"Tijeras de aviación, para hojalatero, industriales, para sastre y electricista"
59990,,PAPE-240,Panel perfocel 120 x 240 cm TRUPER,TRUPER,"Artículos para tienda / Ganchos, canastillas, gaveta, paneles, candados para gancho y llave magnética"
101030,,BACA-UT,Nariz de bastidor calibre 18 p/ carretillas TRUPER y PRETUL,TRUPER,Refacciones para carretillas bastidor tubular
103807,,TAV-DX,"Tijera de aviación 10"" corte derecho, TRUPER EXPERT",TRUPER EXPERT,"Tijeras de aviación, para hojalatero, industriales, para sastre y electricista"
11882,,SL-45/50/60,2 soportes calibre 15 para carretillas TRUPER,TRUPER,Refacciones para carretillas bastidor tubular
104166,,CHS-950N-L,"Chaleco brigadista reforzado, naranja, G, TRUPER EXPERT",TRUPER EXPERT,Chalecos
102993,,CO-50X,"Concha metálica para carretilla CAT- 50X, TRUPER EXPERT",TRUPER EXPERT,Refacciones para carretillas
11884,,JSD-45/50/60,2 tirantes calibre 15 para carretillas TRUPER y EXPERT,TRUPER EXPERT,Refacciones para carretillas bastidor tubular
11886,,RT,Puente 580 kg para carretillas TRUPER,TRUPER,Refacciones para carretillas bastidor tubular
13007,,CT-10C,"Cuchara para albañil 10"" forjada tipo Centroamericana,TRUPER",TRUPER,Cucharas para albañil
102994,,CO-60X,"Concha metálica para carretilla CAT- 60X, TRUPER EXPERT",TRUPER EXPERT,Refacciones para carretillas
104165,,CHS-950N-M,"Chaleco brigadista reforzado, naranja, M, TRUPER EXPERT",TRUPER EXPERT,Chalecos
104167,,CHS-950N-XL,"Chaleco brigadista reforzado, naranja, EG, TRUPER EXPERT",TRUPER EXPERT,Chalecos
59992,,PARA-80,Panel ranurado 80 x 80 cm TRUPER,TRUPER,"Artículos para tienda / Ganchos, canastillas, gaveta, paneles, candados para gancho y llave magnética"
100679,,GRIP-CAT,2 puños para bastidor tubular p/carretillas TRUPER y EXPERT,TRUPER EXPERT,Refacciones para carretillas bastidor tubular
100153,,EST-45/50/60,2 estabilizadores calibre 15 p/carretillas TRUPER y EXPERT,TRUPER EXPERT,Refacciones para carretillas bastidor tubular
12065,,RE-PIPI-440X,"Repuestos de pistolas para pintar, PIPI-440X, TRUPER EXPERT",TRUPER EXPERT,"Pistolas de aire de GRAVEDAD, flujo de aire controlado"
59991,,PARA-60,Panel ranurado 60 x 60 cm TRUPER,TRUPER,"Artículos para tienda / Ganchos, canastillas, gaveta, paneles, candados para gancho y llave magnética"
18374,,MA-TX19,"Mariposa de repuesto para tijera TX-19, TRUPER EXPERT",TRUPER EXPERT,Tijeras para poda
103361,,CO-70PX,"Concha plástica para carretilla TP-7X, TRUPER EXPERT",TRUPER EXPERT,Refacciones para carretillas
59988,,PAPE-60,Panel perfocel 60 x 60 cm TRUPER,TRUPER,"Artículos para tienda / Ganchos, canastillas, gaveta, paneles, candados para gancho y llave magnética"
103362,,CO-60PX,"Concha plástica para carretilla CAT-60PLX, TRUPER EXPERT",TRUPER EXPERT,Refacciones para carretillas
11789,,RE-PIPI-420X,"Repuestos de pistolas para pintar, PIPI-420X, TRUPER EXPERT",TRUPER EXPERT,"Pistolas de aire de GRAVEDAD, flujo de aire controlado"
102265,,BT-H2000X,"Boquilla turbo para HILA-2000X, TRUPER EXPERT",TRUPER EXPERT,Hidrolavadoras eléctricas
102263,,LA-H2000X,"Lanza ajustable para HILA-2000X, TRUPER EXPERT",TRUPER EXPERT,Hidrolavadoras eléctricas
103574,,EMFD-2X,"Empaques de repuesto para FDO-2X, TRUPER EXPERT",TRUPER EXPERT,Fumigadores I Juegos de herramientas básicas
17936,,VASO-340X,"Vaso aluminio de repuesto para PIPI-340X, TRUPER EXPERT",TRUPER EXPERT,Pistolas de aire para pintar
11225,,NHD,Defensa para bastidor de madera de carretillas TRUPER/PRETUL,TRUPER,Refacciones para carretillas
12064,,RE-PIPI-340X,"Repuestos de pistolas para pintar, PIPI-340X, TRUPER EXPERT",TRUPER EXPERT,Pistolas de aire para pintar
103384,,CB-ASP-04N,"Bolsa con 2 carbones de repuesto para ASP-04N,TRUPER",TRUPER,Carbones de repuesto
101594,,HILA-1800,"Hidrolavadora eléctrica 1800 PSI, TRUPER",TRUPER,Hidrolavadoras eléctricas
101593,,HILA-1500,"Hidrolavadora eléctrica 1500 PSI, TRUPER",TRUPER,Hidrolavadoras eléctricas
101595,,HILA-2000,"Hidrolavadora eléctrica 2000 PSI, TRUPER",TRUPER,Hidrolavadoras eléctricas
18100,,SBI-18,"Segueta bimetálica de 12"", 18 DPP, TRUPER EXPERT",TRUPER EXPERT,Arcos para segueta y seguetas
11134,,BAV-1/4,"Broca HSS 1/4"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
17550,,PICA-E,"Pistola calafateadora tipo esqueleto, TRUPER",TRUPER,"Serruchos / Caja de inglete, trabador y serruchos para muros de yeso | Selladores / Pistolas calafateadoras"
18101,,SBI-24,"Segueta bimetálica de 12"", 24 DPP, TRUPER EXPERT",TRUPER EXPERT,Arcos para segueta y seguetas
17923,,BOT-27J,"Botas jardineras 27, TRUPER",TRUPER,Botas y rodilleras
61025,,SILLA-30,"Silla plegable portátil, TRUPER",TRUPER,"Artículos promocionales / Silla, toldo, parasol, paraguas, balones, barajas, dominó, relojes y cordón portagafete"
11150,,BAV-3/8,"Broca HSS 3/8"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
17932,,BOT-27S,"Botas sanitarias 27, TRUPER",TRUPER,Botas y rodilleras
11126,,BAV-3/16,"Broca HSS 3/16"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
19954,,M-33X,"Cinta de aislar 19mm x 18m, TRUPER EXPERT",TRUPER EXPERT,Cintas aislantes y sella roscas
17924,,BOT-28J,"Botas jardineras 28, TRUPER",TRUPER,Botas y rodilleras
11118,,BAV-1/8,"Broca HSS 1/8"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
17933,,BOT-28S,"Botas sanitarias 28, TRUPER",TRUPER,Botas y rodilleras
17913,,BOT-27I,"Botas industriales 27, TRUPER",TRUPER,Botas y rodilleras
17922,,BOT-26J,"Botas jardineras 26, TRUPER",TRUPER,Botas y rodilleras
100431,,BOAC-1/2AX,"Bomba centrífuga para agua, 1/2 HP, TRUPER EXPERT",TRUPER EXPERT,"Bombas eléctricas para agua, centrífugas, sumergible para fuente y para enfriadores evaporativos"
10400,,MUT-830,"Multímetro digital escolar, TRUPER",TRUPER,"Multímetros digitales, medidor láser de temperatura y detector de materiales"
11166,,BAV-1/2,"Broca HSS 1/2"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
12126,,BES-10,"Broca escalonada óxido negro 10escalones 1/4 a 1-3/8"",Truper",TRUPER,"Brocas escalonadas, para vidrio, azulejo y multimaterial"
11142,,BAV-5/16,"Broca HSS 5/16"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
100893,,MADE-20NX,"Martillo demoledor HEX 20 kg, 55J, 1600W, TRUPER EXPERT",TRUPER EXPERT,"Martillos de demolición Hex, diablo transportador y mueble exhibidor"
101519,,MEZ-150N,"Mezcladora eléctrica 1500W, TRUPER INDUSTRIAL",TRUPER INDUSTRIAL,"Mezcladoras eléctricas, sierra ranuradora de concreto y rectificador"
10401,,MUT-33,"Multímetro digital junior, TRUPER",TRUPER,"Multímetros digitales, medidor láser de temperatura y detector de materiales"
17279,,PISCA-A2,"Pistola de calor 1500W, TRUPER PRO",TRUPER,Pistolas de calor | Llaves de impacto
17931,,BOT-26S,"Botas sanitarias 26, TRUPER",TRUPER,Botas y rodilleras
17914,,BOT-28I,"Botas industriales 28, TRUPER",TRUPER,Botas y rodilleras
100432,,BOAC-3/4AX,"Bomba centrífuga para agua, 3/4 HP, TRUPER EXPERT",TRUPER EXPERT,"Bombas eléctricas para agua, centrífugas, sumergible para fuente y para enfriadores evaporativos"
12815,,AM-VA,"Amarrador de varillas, TRUPER",TRUPER,"Barretas, barras, grifas y amarrador de varillas"
13891,,R-ROPI-930,"Felpa para rodillo 9x1-1/4"" superficies extra rugosas,TRUPER",TRUPER,Felpas para rodillos
62129,,HIEL-46,"Hielera de 46 L, TRUPER",TRUPER,"Artículos promocionales / Termos, hieleras, lonchera y radio"
17960,,RE-9,"Remachadora profesional 10"", TRUPER",TRUPER,Remachadoras
68002,,HIEL-45X,"Hielera de 44 L, TRUPER EXPERT",TRUPER EXPERT,"Artículos promocionales / Termos, hieleras, lonchera y radio"
17964,,ET-50,"Engrapadora / clavadora tipo pistola, TRUPER",TRUPER,Engrapadoras y embudos
100894,,MADE-30NX,"Martillo demoledor HEX 30 kg, 62J, 2000W, TRUPER EXPERT",TRUPER EXPERT,"Martillos de demolición Hex, diablo transportador y mueble exhibidor"
17912,,BOT-26I,"Botas industriales 26, TRUPER",TRUPER,Botas y rodilleras
103012,,PMU-8EX,"Pinza multiuso 9"" electricista, comfort grip, TRUPER EXPERT",TRUPER EXPERT,"Pinzas mango Comfort Grip, Truper Expert"
11122,,BAV-5/32,"Broca HSS 5/32"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
60179,,MAL-TOP,"Mochila para laptop, TRUPER",TRUPER,"Artículos promocionales / Maletas, mochilas, portafolio, bolsos y saco de avío"
14221,,PF-500,"Protector facial, TRUPER",TRUPER,"Cubrebocas, respiradores N95 y protectores faciales"
15164,,LMO-5/32X,"Lima profesional para motosierra, 5/32"", TRUPER EXPERT",TRUPER EXPERT,Limas sin mango
17934,,BOT-29S,"Botas sanitarias 29, TRUPER",TRUPER,Botas y rodilleras
17925,,BOT-29J,"Botas jardineras 29, TRUPER",TRUPER,Botas y rodilleras
15166,,LMO-3/16X,"Lima profesional para motosierra, 3/16"", TRUPER EXPERT",TRUPER EXPERT,Limas sin mango
15421,,VOLT,"Volteador de aluminio, TRUPER",TRUPER,"Llanas, esquineros, volteador, rayador, charolas para mezcla, cajón mezclero y jalador para concreto"
11120,,BAV-9/64,"Broca HSS 9/64"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
10895,,ORG-64,"Organizador con 64 gavetas, TRUPER",TRUPER,Cajas para herramienta / Gavetas y organizadores
12125,,BES-12,"Broca escalonada óxido negro 12escalones 3/16"" a 7/8"",Truper",TRUPER,"Brocas escalonadas, para vidrio, azulejo y multimaterial"
17921,,BOT-25J,"Botas jardineras 25, TRUPER",TRUPER,Botas y rodilleras
12147,,PUDE-1202,"Estuche con 5 puntas de cruz PH2 largo 2"", TRUPER EXPERT",TRUPER EXPERT,"Puntas para desarmador de cruz, de impacto y planas"
102642,,ORG-44,"Organizador con 44 gavetas, TRUPER",TRUPER,Cajas para herramienta / Gavetas y organizadores
17930,,BOT-25S,"Botas sanitarias 25, TRUPER",TRUPER,Botas y rodilleras
12874,,LLAP-12,"Llave 12"" para plomero, TRUPER",TRUPER,Llaves para filtro de aceite y universales
103662,,MEZ-140A,"Mezcladora eléctrica 1400W, TRUPER PRO",TRUPER,"Mezcladoras eléctricas, sierra ranuradora de concreto y rectificador"
100251,,PUDE-1202-50,"Estuche con 50 puntas de cruz PH2 largo 2"", TRUPER EXPERT",TRUPER EXPERT,"Puntas para desarmador de cruz, de impacto y planas"
14302,,LEDE-SN,"Lentes de seguridad panorámicos grises, TRUPER VISION",TRUPER,Lentes de seguridad
65012,,PARAG-130,"Paraguas de 135 cm, TRUPER",TRUPER,"Artículos promocionales / Silla, toldo, parasol, paraguas, balones, barajas, dominó, relojes y cordón portagafete"
17002,,CULI-6,"Cuchillo 7"" para linóleo, TRUPER",TRUPER,Cuchillos industriales y de cocina
11335,,JBAC-11,"Juego de 11 brocas para metal y concreto en estuche, TRUPER",TRUPER EXPERT,Brocas para madera y mixtas
101329,,MOG-130,"Motor a gasolina 13HP, TRUPER",TRUPER,Motores eléctricos y motores a gasolina
17962,,RE-AC,"Remachadora tipo acordeón, TRUPER",TRUPER,Remachadoras
100198,,STP-10PC,"Serrucho plegable 10"" hoja curva 5 DPP mango plástico,TRUPER",TRUPER,Serruchos de poda
50004,,DESP-BAV-29C,"Juego de 29 brocas HSS para metal en estuche, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal (juegos) y despachadores
14252,,LEN-ST,"Lentes de seguridad transparentes, TRUPER Safe",TRUPER,Lentes de seguridad
14725,,MAL-2,"Malacate de 2 toneladas, TRUPER",TRUPER,Malacates
17915,,BOT-29I,"Botas industriales 29, TRUPER",TRUPER,Botas y rodilleras
11402,,JBAV-13,"Juego de 13 brocas HSS para metal en estuche, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal (juegos) y despachadores
101827,,BVI-1/4X,"Broca para vidrio y azulejo 1/4"", TRUPER EXPERT",TRUPER EXPERT,"Brocas escalonadas, para vidrio, azulejo y multimaterial"
18501,,TH-10,"Tijera para hojalatero 10"", TRUPER",TRUPER,"Tijeras de aviación, para hojalatero, industriales, para sastre y electricista"
101280,,PICA-R,"Pistola calafateadora reforzada, TRUPER",TRUPER,"Serruchos / Caja de inglete, trabador y serruchos para muros de yeso | Selladores / Pistolas calafateadoras"
10499,,TABU-2,"Taburete de 2 peldaños, TRUPER",TRUPER,"Escalerillas plegables, escaleras multiposición y taburetes"
11170,,BAV-5/8,"Broca HSS 5/8"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
16380,,LT-1217X,"Lona uso rudo 12x17 m, verde olivo, 240 g/m2, TRUPER EXPERT",TRUPER EXPERT,Lonas Truper Expert y Truper
11635,,DICOF-4510I,"Disco abrasivo de corte preciso acero inox 4-1/2""x1mm TRUPER",TRUPER,"Discos abrasivos de corte preciso para metal, acero inoxidable, multimaterial y de diamante"
17920,,BOT-24J,"Botas jardineras 24, TRUPER",TRUPER,Botas y rodilleras
16374,,LT-34X,"Lona uso rudo 3 x 4 m, verde olivo, 240 g/m2, TRUPER EXPERT",TRUPER EXPERT,Lonas Truper Expert y Truper
18651,,DICOF-4510M,"Disco abrasivo de corte preciso multimat 4-1/2"" x 1mm TRUPER",TRUPER,"Discos abrasivos de corte preciso para metal, acero inoxidable, multimaterial y de diamante"
15290,,LEN-LN,"Lentes de seguridad grises, TRUPER Ultralite",TRUPER,Lentes de seguridad
11130,,BAV-7/32,"Broca HSS 7/32"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
100891,,MADE-10NX,"Martillo demoledor SDS Max 10kg, 25J, 1500W, TRUPER EXPERT",TRUPER EXPERT,Martillos y rotomartillos de demolición SDS Max
18372,,TX-21,"Tijera para poda 56 cm,forjada,mgos de madera, TRUPER EXPERT",TRUPER EXPERT,Tijeras para poda
10390,,PORMA-50,"Portamanguera de pared, TRUPER",TRUPER,Mangueras para jardín en combo | Portamangueras
16375,,LT-45X,"Lona uso rudo 4 x 5 m, verde olivo, 240 g/m2, TRUPER EXPERT",TRUPER EXPERT,Lonas Truper Expert y Truper
100890,,MADE-6NX,"Martillo demoledor SDS Max 6kg, 14J, 1200W, TRUPER EXPERT",TRUPER EXPERT,Martillos y rotomartillos de demolición SDS Max
18500,,TH-8,"Tijera para hojalatero 8"", TRUPER",TRUPER,"Tijeras de aviación, para hojalatero, industriales, para sastre y electricista"
11116,,BAV-7/64,"Broca HSS 7/64"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
17865,,BRT-4X,"Brocha profesional de 4"" mango de plástico, TRUPER EXPERT",TRUPER EXPERT,"Brochas, exhibidores y pinceles"
11158,,BAV-7/16,"Broca HSS 7/16"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
68038,,MOLTA-N2,"Mochila táctica negra, TRUPER",TRUPER,"Artículos promocionales / Maletas, mochilas, portafolio, bolsos y saco de avío"
11124,,BAV-11/64,"Broca HSS 11/64"" Trugold para metal, TRUPER EXPERT",TRUPER EXPERT,Brocas para metal
17113,,NAMU-100,"Multiherramienta con 13 funciones, TRUPER",TRUPER,Cuchillos tácticos y multiherramientas | Cutters / Exactos
17911,,BOT-25I,"Botas industriales 25, TRUPER",TRUPER,Botas y rodilleras
11556,,CEA-36,"Cepillo de alambre 114 pinceles,rectangular sin mango,TRUPER",TRUPER,Cepillos de alambre e industriales
22932,,SP-20,"Serrucho 20"" PRETUL",PRETUL,Serruchos
22930,,SP-16,"Serrucho 16"" PRETUL",PRETUL,Serruchos
22931,,SP-18,"Serrucho 18"" PRETUL",PRETUL,Serruchos
29974,,JFP-3,Juego de 3 formones PRETUL,PRETUL,"Formones y gurbias <span class=""Torange""> | </span> Guías, ganchos, mango para guadañas y hoces"
27188,,R35-COMP-40LP,Carcasa plástica para compresores PRETUL,PRETUL,Compresores de aire lubricados
28037,,ROPI-930P,"Rodillo para pintar 9x1-1/4""superficies extra rugosas,PRETUL",PRETUL,Rodillos para pintar
50195,,R-BRO-P-C,Exhibidor despachador con 156 brochas mango plástico PRETUL,PRETUL,"Brochas, exhibidores y pinceles"
22694,,BACA-LP,Larguero de bastidor calibre 18 para carretillas PRETUL,PRETUL,Refacciones para carretillas bastidor tubular
55959,,EX-PRE-RD,Exhibidor de ruedas para diablo PRETUL,PRETUL,Despachadores y racks exhibidores
101891,,CB-GRUPO2,"Carburador para motobomba a gasolina MOTB-2P/MOTB-3P, PRETUL",PRETUL,"Refacciones para bombas, equipos hidroneumáticos y motobombas"
20637,,JSD-45/50P,2 tirantes calibre 18 para carretillas PRETUL,PRETUL,Refacciones para carretillas bastidor tubular
20632,,SL-45/50-GP,2 soportes calibre 16 para carretillas grises PRETUL,PRETUL,Refacciones para carretillas bastidor tubular
20635,,RT-GP,Puente 250 kg para carretillas concha gris PRETUL,PRETUL,Refacciones para carretillas bastidor tubular
23397,,FIL-ASP-P,Bolsa con 2 filtros para aspiradora ASP-12V-P PRETUL,PRETUL,"Aspiradora canister, para auto, sopladoras eléctricas e inalámbricas"
29004,,HILA-1350P,"Hidrolavadora eléctrica 1350 PSI, PRETUL",PRETUL,"Hidrolavadoras eléctricas, Truper y Pretul"
20401,,LEN-ST-P,"Lentes de seguridad transparentes, PRETUL LITE",PRETUL,Lentes de seguridad
20402,,LEN-SN-P,"Lentes de seguridad grises, PRETUL LITE",PRETUL,Lentes de seguridad
22801,,PICA-9C,"Pistola calafateadora con cremallera, PRETUL",PRETUL,"Serruchos / Caja de inglete, trabador y serruchos para muros de yeso | Selladores / Pistolas calafateadoras"
22405,,CUT-6PB,"Cutter 18 mm plástico, PRETUL",PRETUL,Cutters
22235,,ROD-100,"Rodilleras ultraligeras de espuma, PRETUL",PRETUL,Botas y rodilleras
27241,,ROD-200,"Rodilleras antiderrapantes doble cápsula, PRETUL",PRETUL,Botas y rodilleras
22850,,RE-10P,"Remachadora 10"", PRETUL",PRETUL,Remachadoras
21830,,GU-425,"Guantes de algodón con puntos de PVC en palma y dorso,PRETUL",PRETUL,Guantes y manga anticorte y textiles
22851,,RE-10PX,"Remachadora 10"" con remaches, PRETUL",PRETUL,Remachadoras
23070,,TIRO-G-P,"Tirolera galvanizada, PRETUL",PRETUL,Tenazas | Tiroleras
20654,,CHAP-14P,"Charola para rodillo 9"", PRETUL",PRETUL,"Manerales, kits con charola para rodillo, destapador de cubetas y rejilla escurridora"
26050,,TH-10P,"Tijera para hojalatero 10"", PRETUL",PRETUL,"Tijeras de aviación, para hojalatero, industriales, para sastre y electricista"
22450,,NT-9P,"Nivel torpedo de 9"", PRETUL",PRETUL,Niveles y gota de acrílico
26052,,TH-8P,"Tijera para hojalatero 8"", PRETUL",PRETUL,"Tijeras de aviación, para hojalatero, industriales, para sastre y electricista"
19784,,BAS-2B,"Juego de 2 baleros para carretillas EXPERT, TRUPER y PRETUL",TRUPER,Refacciones para carretillas bastidor tubular
22800,,PICA-9L,"Pistola calafateadora lisa, PRETUL",PRETUL,"Serruchos / Caja de inglete, trabador y serruchos para muros de yeso | Selladores / Pistolas calafateadoras"
26007,,PF-500P,"Protector facial, PRETUL",PRETUL,"Cubrebocas, respiradores N95 y protectores faciales"
24105,,NAMU-13P,"Multiherramienta con 13 funciones, PRETUL",PRETUL,Cuchillos tácticos y multiherramientas | Cutters / Exactos
22403,,CUT-5PB,"Cutter 9 mm plástico, PRETUL",PRETUL,Cutters
21668,,FT-1P,"Formón 1"", PRETUL",PRETUL,"Formones y gurbias <span class=""Torange""> | </span> Guías, ganchos, mango para guadañas y hoces"
21662,,FT-3/4P,"Formón 3/4"", PRETUL",PRETUL,"Formones y gurbias <span class=""Torange""> | </span> Guías, ganchos, mango para guadañas y hoces"
28115,,MOG-130P,"Motor a gasolina 13HP, PRETUL",PRETUL,Motores eléctricos y motores a gasolina
21656,,FT-1/2P,"Formón 1/2"", PRETUL",PRETUL,"Formones y gurbias <span class=""Torange""> | </span> Guías, ganchos, mango para guadañas y hoces"
28229,,UNA-350P,"Alicate para pedicure 5"" cabeza plana punta extrafina,PRETUL",PRETUL,"Tijeras para costura, para bordar, para peluquero y estilista, para manicure, cortaúñas y alicates"
26089,,EC-12P,"Escuadra 12"" para carpintero, PRETUL",PRETUL,"Escuadras para cantero, de combinación, para muros de yeso, carpintero y multiángulo"
26088,,EC-10P,"Escuadra 10"" para carpintero, PRETUL",PRETUL,"Escuadras para cantero, de combinación, para muros de yeso, carpintero y multiángulo"
20403,,LEN-SA-P,"Lentes de seguridad ámbar, PRETUL LITE",PRETUL,Lentes de seguridad
26051,,TH-12P,"Tijera para hojalatero 12"", PRETUL",PRETUL,"Tijeras de aviación, para hojalatero, industriales, para sastre y electricista"
21372,,DES-6P,"Desarmador con 6 puntas, PRETUL",PRETUL,"Destornillador, desarmadores y juegos multipunta"
11868,,R,"Rin, eje y baleros para carretillas EXPERT, TRUPER y PRETUL",TRUPER,Refacciones para carretillas bastidor tubular
26087,,EC-8P,"Escuadra 8"" para carpintero, PRETUL",PRETUL,"Escuadras para cantero, de combinación, para muros de yeso, carpintero y multiángulo"
27104,,MALE-16P,"Maletín portaherramientas 16"", PRETUL",PRETUL,"Cajas para herramienta, maletas y mochilas portaherramienta"
28045,,R-ROPI-930P,"Felpa para rodillo 9x1-1/4"" superficies extra rugosas,PRETUL",PRETUL,Felpas para rodillos
26009,,LEN-SZ-P,"Lentes de seguridad azules, PRETUL LITE",PRETUL,Lentes de seguridad
28307,,UNA-530P,"Cortaúñas 3"" acero inoxidable, PRETUL",PRETUL,"Tijeras para costura, para bordar, para peluquero y estilista, para manicure, cortaúñas y alicates"
26086,,EC-6P,"Escuadra 6"" para carpintero, PRETUL",PRETUL,"Escuadras para cantero, de combinación, para muros de yeso, carpintero y multiángulo"
27216,,MALE-14P,"Maletín portaherramientas 14"", PRETUL",PRETUL,"Cajas para herramienta, maletas y mochilas portaherramienta"
11870,,E,"Eje corto para carretillas 1 llanta EXPERT, TRUPER y PRETUL",TRUPER,Refacciones para carretillas bastidor tubular
21659,,FT-5/8P,"Formón 5/8"", PRETUL",PRETUL,"Formones y gurbias <span class=""Torange""> | </span> Guías, ganchos, mango para guadañas y hoces"
21650,,FT-1/4P,"Formón 1/4"", PRETUL",PRETUL,"Formones y gurbias <span class=""Torange""> | </span> Guías, ganchos, mango para guadañas y hoces"
21665,,FT-7/8P,"Formón 7/8"", PRETUL",PRETUL,"Formones y gurbias <span class=""Torange""> | </span> Guías, ganchos, mango para guadañas y hoces"
28308,,UNA-520P,"Cortaúñas 2"" acero inoxidable, PRETUL",PRETUL,"Tijeras para costura, para bordar, para peluquero y estilista, para manicure, cortaúñas y alicates"
20067,,ASP-8P,"Aspersor plástico 5 funciones, PRETUL",PRETUL,Aspersores
27105,,MALE-20P,"Maletín portaherramientas 20"", PRETUL",PRETUL,"Cajas para herramienta, maletas y mochilas portaherramienta"
27013,,MA3-HILAP,"Manguera para HILA-1300P, PRETUL",PRETUL,"Hidrolavadoras eléctricas, Truper y Pretul"
21653,,FT-3/8P,"Formón 3/8"", PRETUL",PRETUL,"Formones y gurbias <span class=""Torange""> | </span> Guías, ganchos, mango para guadañas y hoces"
27217,,MALE-18P,"Maletín portaherramientas 18"", PRETUL",PRETUL,"Cajas para herramienta, maletas y mochilas portaherramienta"
20683,,CT-5AP,"Cuchara para azulejo 5"", PRETUL",PRETUL,Cucharas para albañil
26026,,TN-8AP,"Tenaza de armador 8"", PRETUL",PRETUL,Tenazas | Tiroleras
25010,,CO-5P,"Concha para carretilla CAP-5NB, PRETUL",PRETUL,Refacciones para carretillas
24100,,CO-4P,"Concha para carretilla CAP-4NB, PRETUL",PRETUL,Refacciones para carretillas
26027,,TN-9AP,"Tenaza de armador 9"", PRETUL",PRETUL,Tenazas | Tiroleras
26028,,TN-10AP,"Tenaza de armador 10"", PRETUL",PRETUL,Tenazas | Tiroleras
20639,,JT-RP,"Tornilleria,chumaceras y eje,carretilla TP-5N y rojas PRETUL",PRETUL,Refacciones para carretillas bastidor tubular
20633,,SL-45/50-RP,2 soportes calibre 16 para carretilla TP-5N y rojas PRETUL,PRETUL,Refacciones para carretillas bastidor tubular
28304,,CA-POL-3P,"Cadena para polipasto POL-3P, PRETUL",PRETUL,Polipastos y cadenas para polipastos
28302,,CA-POL-1P,"Cadena para polipasto POL-1P, PRETUL",PRETUL,Polipastos y cadenas para polipastos
28303,,CA-POL-2P,"Cadena para polipasto POL-2P, PRETUL",PRETUL,Polipastos y cadenas para polipastos
