codigo_truper,codigo_barras,clave,descripcion,marca,categoria,precio_venta,existencia,datos_completos
44457,,ALRE-160,,,,,,False
44458,,ALRE-151,,,,,,False
44465,,ALG-125,,,,,,False
44466,,ALG-145,,,,,,False
44467,,ALG-160,,,,,,False
44468,,ALG-180,,,,,,False
44469,,ALG-200,,,,,,False
44470,,ALG-220,,,,,,False
44472,,CUE-04K,,,,,,False
44473,,CUE-25K,,,,,,False
44475,,DIA-100,,,,,,False
44476,,DIA-200,,,,,,False
44477,,DIA-300,,,,,,False
44478,,DIA-400,,,,,,False
44479,,DIA-450,,,,,,False
44485,,CUE-06K,,,,,,False
44486,,CUE-08K,,,,,,False
44487,,CUE-10K,,,,,,False
44488,,CUE-11K,,,,,,False
44489,,CUE-13K,,,,,,False
44490,,CUE-16K,,,,,,False
44491,,CUE-19K,,,,,,False
44492,,RAF-290,,,,,,False
44493,,R-504S,,,,,,False
44494,,R-501S,,,,,,False
44495,,CLS-1,,,,,,False
44496,,CLS-1-1/2,,,,,,False
44497,,CLS-2,,,,,,False
44498,,CLS-2-1/2,,,,,,False
44499,,CLS-3,,,,,,False
44500,,CLA-5/8,,,,,,False
44501,,CLA-3/4,,,,,,False
44502,,CLA-1,,,,,,False
44503,,CLA-5/8S,,,,,,False
44504,,CLA-3/4S,,,,,,False
44505,,CLA-1S,,,,,,False
44506,,BCH-600,,,,,,False
44507,,BCH-610,,,,,,False
44508,,BCH-720,,,,,,False
44509,,BCH-720N,,,,,,False
44510,,BCH-600B,,,,,,False
44511,,GRA-1N,,,,,,False
44512,,GRA-1-1/4N,,,,,,False
44513,,GRA-1G,,,,,,False
44514,,GRA-1-1/4G,,,,,,False
44518,,R-42B,,,,,,False
44519,,R-43B,,,,,,False
44520,,R-44B,,,,,,False
44521,,R-45B,,,,,,False
44522,,R-46B,,,,,,False
44523,,R-48B,,,,,,False
44524,,R-52B,,,,,,False
44525,,R-54B,,,,,,False
44526,,R-56B,,,,,,False
44527,,R-58B,,,,,,False
44528,,R-62B,,,,,,False
44529,,R-64B,,,,,,False
44530,,R-66B,,,,,,False
44531,,R-68B,,,,,,False
44532,,R-84B,,,,,,False
44533,,R-86B,,,,,,False
44534,,R-88B,,,,,,False
44535,,R-610B,,,,,,False
44536,,R-612B,,,,,,False
44537,,R-66LF-B,,,,,,False
44538,,R-68LF-B,,,,,,False
44540,,ARA-1/8,,,,,,False
44541,,ARA-5/32,,,,,,False
44542,,ARA-3/16,,,,,,False
44543,,ARA-1/4,,,,,,False
44544,,ARA-5/16,,,,,,False
44545,,ARA-3/8,,,,,,False
44546,,ARA-7/16,,,,,,False
44547,,ARA-1/2,,,,,,False
44548,,TUE-1/4,,,,,,False
44549,,TUE-5/16,,,,,,False
44550,,TUE-3/8,,,,,,False
44551,,TUE-7/16,,,,,,False
44552,,TUE-1/2,,,,,,False
44553,,TUES-1/8,"Bolsa con 1000 tuercas 1/8"" hexagonales tipo Sakamura, FIERO",FIERO,Tornillería / Tuercas y arandelas,,,True
44554,,TUES-5/32,"Bolsa con 700 tuercas 5/32"" hexagonales tipo Sakamura, FIERO",FIERO,Tornillería / Tuercas y arandelas,,,True
44555,,TUES-3/16,"Bolsa con 600 tuercas 3/16"" hexagonales tipo Sakamura, FIERO",FIERO,Tornillería / Tuercas y arandelas,,,True
44635,,BSO-3/8,"Bisagra tubular soldable de 3/8"", HERMEX",HERMEX,Cierrapuertas y bisagras,,,True
44636,,BSO-1/2,"Bisagra tubular soldable de 1/2"", HERMEX",HERMEX,Cierrapuertas y bisagras,,,True
44637,,BSO-5/8,"Bisagra tubular soldable de 5/8"", HERMEX",HERMEX,Cierrapuertas y bisagras,,,True
44638,,BSO-3/4,"Bisagra tubular soldable de 3/4"", HERMEX",HERMEX,Cierrapuertas y bisagras,,,True
44639,,BSO-1,"Bisagra tubular soldable de 1"", HERMEX",HERMEX,Cierrapuertas y bisagras,,,True
44645,,PIBR-1/2C,,,,,,False
44646,,PIBR-3/4C,,,,,,False
44647,,PIBR-1C,,,,,,False
44648,,PIBR-1-1/4C,,,,,,False
44649,,PIBR-1-1/2C,,,,,,False
44650,,PIBR-2C,,,,,,False
44655,,MAHE-1309,,,,,,False
44656,,MAHE-2510,,,,,,False
44657,,MAHE-2512,,,,,,False
44658,,MAHE-2515,,,,,,False
44659,,MAHE-2517,,,,,,False
44660,,MAHE-3815,,,,,,False
44661,,MAHE-3817,,,,,,False
44662,,MAHE-5015,,,,,,False
44670,,MER-12B,,,,,,False
44671,,MER-16B,,,,,,False
44672,,MER-20B,,,,,,False
44673,,MER-12G,,,,,,False
44674,,MER-16G,,,,,,False
44675,,MER-20G,,,,,,False
44676,,MER-12N,,,,,,False
44677,,MER-16N,,,,,,False
44678,,MER-20N,,,,,,False
44683,,ARAP-1/8,,,,,,False
44684,,ARAP-5/32,,,,,,False
44685,,ARAP-3/16,,,,,,False
44686,,ARAP-1/4,"Bolsa con 200 arandelas de presión 1/4"" pavonadas, FIERO",FIERO,Tornillería / Tuercas y arandelas,,,True
44687,,ARAP-5/16,"Bolsa con 150 arandelas de presión 5/16"" pavonadas, FIERO",FIERO,Tornillería / Tuercas y arandelas,,,True
44688,,ARAP-3/8,"Bolsa con 150 arandelas de presión 3/8"" pavonadas, FIERO",FIERO,Tornillería / Tuercas y arandelas,,,True
44689,,ARAP-7/16,"Bolsa con 100 arandelas de presión 7/16"" pavonadas, FIERO",FIERO,Tornillería / Tuercas y arandelas,,,True
44690,,ARAP-1/2,"Bolsa con 100 arandelas de presión 1/2"" pavonadas, FIERO",FIERO,Tornillería / Tuercas y arandelas,,,True
44695,,TUE5-1/4,,,,,,False
44696,,TUE5-5/16,,,,,,False
44697,,TUE5-3/8,,,,,,False
44698,,TUE5-7/16,,,,,,False
44699,,TUE5-1/2,,,,,,False
44700,,TUE-5/8,,,,,,False
44701,,TUE-3/4,,,,,,False
44708,,TOSO-803,,,,,,False
44709,,TOSO-805,,,,,,False
44813,,CLE-1B,,,,,,False
44814,,CLE-1-1/4B,,,,,,False
44815,,CLE-1-1/2B,,,,,,False
44816,,VG-554-F,,,,,,False
44817,,VG-554-M,,,,,,False
44818,,VG-554-S,,,,,,False
44819,,VG-554-A,,,,,,False
44828,,PPG-3825,,,,,,False
44829,,CLCG-3/4G,,,,,,False
44830,,CLCG-1G,,,,,,False
44831,,CLCG-1-1/2G,,,,,,False
44832,,CLCG-2G,,,,,,False
44833,,CLCG-2-1/2G,,,,,,False
44834,,CLCG-3G,,,,,,False
44835,,CLCG-3-1/2G,,,,,,False
44836,,CLCG-4G,,,,,,False
44840,,PPG-1225,,,,,,False
44841,,PPG-3425,,,,,,False
44842,,PPG-3812CH,,,,,,False
44843,,CLCG-3/4N,,,,,,False
44844,,CLCG-1N,,,,,,False
44845,,CLCG-1-1/2N,,,,,,False
44846,,CLCG-2N,,,,,,False
44847,,CLCG-2-1/2N,,,,,,False
44848,,CLCG-3N,,,,,,False
44849,,CLCG-3-1/2N,,,,,,False
44850,,CLCG-4N,,,,,,False
44851,,PPG-3838NM,,,,,,False
44852,,PPG-1238NM,,,,,,False
44853,,PPG-3812TH,,,,,,False
44854,,PPG-3812TM,,,,,,False
